time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gz_normalized_1,gy_normalized_1
9.397,1.98,-1.64,11.77,-0.01,-0.21,0.12,12.047526717131612,13.869839656992728,0.07999974307778054,-0.06626241345836367,0.47555402829569543,-1.8263937209322977e-05,-0.0003835426813957825,0.00021916724651187573,0.0215311004784689,-0.02516109235961951,0.11069312517633781,-0.0010869565217391304,0.02127659574468085,-0.008174386920980926
9.409,-2.89,-3.8,10.37,0.03,0.07,0.15,11.416172738707136,9.63864200524806,-0.11676730176504332,-0.15353486045230608,0.41898855339221425,5.479181162796893e-05,0.00012784756046526087,0.00027395905813984466,-0.03142670726402784,-0.05830009205277692,0.09752656823097902,0.0032608695652173916,0.026595744680851064,0.002724795640326976
9.421,-2.89,-3.8,10.37,0.03,0.07,0.15,11.416172738707136,9.63864200524806,-0.11676730176504332,-0.15353486045230608,0.41898855339221425,5.479181162796893e-05,0.00012784756046526087,0.00027395905813984466,-0.03142670726402784,-0.05830009205277692,0.09752656823097902,0.0032608695652173916,0.026595744680851064,0.002724795640326976
9.432,2.27,-2.88,8.8,-0.03,-0.0,0.09,9.533483099056713,5.4355549072846,0.09171687716493022,-0.11636326265858987,0.3555544136790247,-5.479181162796893e-05,-0.0,0.0001643754348839068,0.02468464549804263,-0.044185332924209876,0.08276121508511239,-0.0032608695652173916,0.015957446808510637,-0.0
9.445,2.27,-2.88,8.8,-0.03,-0.0,0.09,9.533483099056713,5.4355549072846,0.09171687716493022,-0.11636326265858987,0.3555544136790247,-5.479181162796893e-05,-0.0,0.0001643754348839068,0.02468464549804263,-0.044185332924209876,0.08276121508511239,-0.0032608695652173916,0.015957446808510637,-0.0
9.457,0.36,-2.28,11.93,0.0,0.12,0.07,12.151250964406914,7.959784077173618,0.014545407832323734,-0.09212091627138365,0.48201865399895044,0.0,0.00021916724651187573,0.00012784756046526087,0.0039147455415398,-0.03498005523166615,0.11219787454152168,0.0,0.012411347517730499,0.004671078240560529
9.468,0.36,-2.28,11.93,0.0,0.12,0.07,12.151250964406914,7.959784077173618,0.014545407832323734,-0.09212091627138365,0.48201865399895044,0.0,0.00021916724651187573,0.00012784756046526087,0.0039147455415398,-0.03498005523166615,0.11219787454152168,0.0,0.012411347517730499,0.004671078240560529
9.479,-2.7,-3.18,15.78,-0.09,0.16,0.12,16.322095453709366,12.565945465247127,-0.10909055874242803,-0.128484435852193,0.6375737099835237,-0.0001643754348839068,0.00029222299534916764,0.00021916724651187573,-0.029360591561548504,-0.04878797177048174,0.14840590614125834,-0.009782608695652175,0.02127659574468085,0.006228104320747372
9.493,2.13,-0.82,17.08,-0.0,0.01,0.05,17.231822306419016,2.9215229778371645,0.0860603296745821,-0.033131206729181836,0.6900987938224705,-0.0,1.8263937209322977e-05,9.131968604661489e-05,0.023162244454110484,-0.012580546179809755,0.16063199473337722,-0.0,0.008865248226950355,0.00038925652004671076
9.504,2.13,-0.82,17.08,-0.0,0.01,0.05,17.231822306419016,2.9215229778371645,0.0860603296745821,-0.033131206729181836,0.6900987938224705,-0.0,1.8263937209322977e-05,9.131968604661489e-05,0.023162244454110484,-0.012580546179809755,0.16063199473337722,-0.0,0.008865248226950355,0.00038925652004671076
9.516,-1.6,-1.35,4.44,0.16,0.14,0.06,4.908777851970896,12.65705138966312,-0.06464625703254993,-0.05454527937121401,0.1793933632653261,0.00029222299534916764,0.00025569512093052174,0.00010958362325593786,-0.017398869073510223,-0.020711874808223382,0.041756794883852165,0.017391304347826087,0.010638297872340425,0.005449591280653952
9.528,-1.6,-1.35,4.44,0.16,0.14,0.06,4.908777851970896,12.65705138966312,-0.06464625703254993,-0.05454527937121401,0.1793933632653261,0.00029222299534916764,0.00025569512093052174,0.00010958362325593786,-0.017398869073510223,-0.020711874808223382,0.041756794883852165,0.017391304347826087,0.010638297872340425,0.005449591280653952
9.541,1.52,-2.55,11.77,-0.04,0.09,0.04,12.138607827918323,6.090624906783598,0.06141394418092244,-0.10302997214562645,0.47555402829569543,-7.305574883729191e-05,0.0001643754348839068,7.305574883729191e-05,0.01652892561983471,-0.039122430193310825,0.11069312517633781,-0.004347826086956522,0.007092198581560284,0.003503308680420397
9.553,2.84,3.06,8.56,0.01,0.03,0.05,9.523801761901598,3.3896640283427946,0.11474710623277613,0.12363596657475175,0.34585747512414217,1.8263937209322977e-05,5.479181162796893e-05,9.131968604661489e-05,0.030882992605480643,0.046946916231972995,0.0805040910373366,0.0010869565217391304,0.008865248226950355,0.0011677695601401323
9.564,2.84,3.06,8.56,0.01,0.03,0.05,9.523801761901598,3.3896640283427946,0.11474710623277613,0.12363596657475175,0.34585747512414217,1.8263937209322977e-05,5.479181162796893e-05,9.131968604661489e-05,0.030882992605480643,0.046946916231972995,0.0805040910373366,0.0010869565217391304,0.008865248226950355,0.0011677695601401323
9.576,-1.98,3.41,9.61,0.04,0.17,0.07,10.3875213597855,10.780136584961053,-0.07999974307778054,0.13777733530062206,0.388281581301753,7.305574883729191e-05,0.00031048693255849067,0.00012784756046526087,-0.0215311004784689,0.0523166615526235,0.09037900874635568,0.004347826086956522,0.012411347517730499,0.006617360840794084
9.588,-1.98,3.41,9.61,0.04,0.17,0.07,10.3875213597855,10.780136584961053,-0.07999974307778054,0.13777733530062206,0.388281581301753,7.305574883729191e-05,0.00031048693255849067,0.00012784756046526087,-0.0215311004784689,0.0523166615526235,0.09037900874635568,0.004347826086956522,0.012411347517730499,0.006617360840794084
9.601,1.41,7.89,8.8,0.03,-0.12,0.05,11.902949214375402,7.644210425557962,0.05696951400993463,0.31878685499176185,0.3555544136790247,5.479181162796893e-05,-0.00021916724651187573,9.131968604661489e-05,0.015332753371030882,0.12104940165694997,0.08276121508511239,0.0032608695652173916,0.008865248226950355,-0.004671078240560529
9.613,4.19,9.87,10.16,0.1,0.16,0.05,14.771546973827759,11.183689996394188,0.16929238560399015,0.39878659806954236,0.4105037321566921,0.00018263937209322977,0.00029222299534916764,9.131968604661489e-05,0.0455632883862549,0.15142681804234426,0.09555158468917521,0.010869565217391306,0.008865248226950355,0.006228104320747372
9.625,4.19,9.87,10.16,0.1,0.16,0.05,14.771546973827759,11.183689996394188,0.16929238560399015,0.39878659806954236,0.4105037321566921,0.00018263937209322977,0.00029222299534916764,9.131968604661489e-05,0.0455632883862549,0.15142681804234426,0.09555158468917521,0.010869565217391306,0.008865248226950355,0.006228104320747372
9.636,1.3,9.96,7.0,0.22,0.15,0.01,12.243022502633899,15.266933249701259,0.05252508383894682,0.4024229500276234,0.28282737451740597,0.0004018066186051055,0.00027395905813984466,1.8263937209322977e-05,0.014136581122227057,0.15280760969622584,0.06583278472679395,0.02391304347826087,0.001773049645390071,0.0058388478007006615
9.648,1.3,9.96,7.0,0.22,0.15,0.01,12.243022502633899,15.266933249701259,0.05252508383894682,0.4024229500276234,0.28282737451740597,0.0004018066186051055,0.00027395905813984466,1.8263937209322977e-05,0.014136581122227057,0.15280760969622584,0.06583278472679395,0.02391304347826087,0.001773049645390071,0.0058388478007006615
