time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gy_normalized_1,gz_normalized_1
16.0,1.83,0.86,10.02,0.09,0.14,0.54,10.22198121696572,32.37591801877979,0.07290063295969734,0.03425931384991241,0.39916084276293295,0.00029947606469578586,0.0004658516561934447,0.0017968563881747153,0.04817057120294815,0.03201787043931496,0.13654946852003272,0.012362637362637362,0.010479041916167666,0.07040417209908736
16.01,4.29,5.9,12.25,0.07,0.25,0.53,14.25751030159193,33.81421966730994,0.1708982051350282,0.2350348275749805,0.48799604030398497,0.00023292582809672236,0.0008318779574882941,0.0017635812698751836,0.11292445380363253,0.21965748324646317,0.16693922049604798,0.009615384615384616,0.018712574850299403,0.06910039113428944
16.02,0.72,11.91,10.14,0.14,0.24,0.51,15.658419460469183,33.27597604667609,0.028682216246438297,0.47445166040983355,0.4039412121373394,0.0004658516561934447,0.0007986028391887624,0.00169703103327612,0.018952355883127138,0.44341027550260614,0.13818479149632054,0.019230769230769232,0.017964071856287425,0.06649282920469361
16.03,0.72,11.91,10.14,0.14,0.24,0.51,15.658419460469183,33.27597604667609,0.028682216246438297,0.47445166040983355,0.4039412121373394,0.0004658516561934447,0.0007986028391887624,0.00169703103327612,0.018952355883127138,0.44341027550260614,0.13818479149632054,0.019230769230769232,0.017964071856287425,0.06649282920469361
16.04,0.72,11.91,10.14,0.14,0.24,0.51,15.658419460469183,33.27597604667609,0.028682216246438297,0.47445166040983355,0.4039412121373394,0.0004658516561934447,0.0007986028391887624,0.00169703103327612,0.018952355883127138,0.44341027550260614,0.13818479149632054,0.019230769230769232,0.017964071856287425,0.06649282920469361
16.049999999999997,-1.69,13.9,6.87,0.16,0.26,0.48,15.596890715780502,32.593191541544385,-0.06732353535622322,0.5537261192020727,0.2736761466847654,0.0005324018927925083,0.0008651530757878259,0.0015972056783775247,-0.04448539089234008,0.5174981384959048,0.09362224039247752,0.021978021978021976,0.019461077844311378,0.06258148631029987
16.0599999999999,-1.69,13.9,6.87,0.16,0.26,0.48,15.596890715780502,32.593191541544385,-0.06732353535622322,0.5537261192020727,0.2736761466847654,0.0005324018927925083,0.0008651530757878259,0.0015972056783775247,-0.04448539089234008,0.5174981384959048,0.09362224039247752,0.021978021978021976,0.019461077844311378,0.06258148631029987
16.07,4.07,9.82,14.52,0.16,0.33,0.47,17.995213252417987,34.157127759724965,0.16213419461528317,0.3911935604722557,0.5784246943031723,0.0005324018927925083,0.0010980789038845483,0.001563930560077993,0.10713345617267703,0.36559940431868954,0.19787408013082586,0.021978021978021976,0.024700598802395213,0.061277705345501955
16.080000000000002,0.6049999999993849,8.989999999999853,14.379999999999974,0.250000000000016,0.4050000000000133,0.3949999999999867,16.969694310741012,35.43779859411445,0.024101028929274345,0.358129338965939,0.5728475966996972,0.0008318779574883473,0.0013476422911310806,0.0013143671728314604,0.015925243485111474,0.33469843633655444,0.19596620332515638,0.034340659340661536,0.030314371257486025,0.05149934810951587
16.09,-2.86,8.16,14.24,0.34,0.48,0.32,16.659615841909442,38.36678729507158,-0.11393213675668545,0.32506511745963407,0.5672704990962242,0.00113135402218408,0.0015972056783775247,0.0010648037855850165,-0.07528296920242168,0.3037974683544304,0.19405832651948762,0.046703296703296704,0.03592814371257485,0.041720990873533245
