time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gy_normalized_1,gz_normalized_1
7.82,0.54,-0.52,9.62,-0.01,-0.0,0.04,9.649165767049501,2.362365508345388,0.04925469835055898,-0.047430450263501234,0.8774633298747728,-0.0044440462440252316,-0.0,0.017776184976100926,0.5806451612903226,-0.44067796610169496,0.9321705426356588,-0.5,-0.0,1.0
7.83,0.54,-0.52,9.62,-0.01,-0.0,0.04,9.649165767049501,2.362365508345388,0.04925469835055898,-0.047430450263501234,0.8774633298747728,-0.0044440462440252316,-0.0,0.017776184976100926,0.5806451612903226,-0.44067796610169496,0.9321705426356588,-0.5,-0.0,1.0
7.84,0.49,-0.57,9.66,-0.0,-0.0,0.04,9.689200173388926,2.291831180523293,0.04469407813291462,-0.05199107048114558,0.8811118260488884,-0.0,-0.0,0.017776184976100926,0.5268817204301075,-0.4830508474576271,0.936046511627907,-0.0,-0.0,1.0
7.85,0.4949999999999998,-0.6099999999999982,9.69,0.0,-0.0099999999999995,0.04,9.721791244415815,2.3623655083453814,0.04515014015467904,-0.0556395666552609,0.8838481981794749,0.0,-0.0044440462440250095,0.017776184976100926,0.5322580645161288,-0.5169491525423714,0.9389534883720929,0.0,-0.2499999999999875,1.0
7.86,0.5,-0.65,9.72,0.0,-0.02,0.04,9.754532279919935,2.5623451563018373,0.0456062021764435,-0.05928806282937654,0.8865845703100615,0.0,-0.008888092488050463,0.017776184976100926,0.5376344086021505,-0.5508474576271187,0.9418604651162791,0.0,-0.5,1.0
7.87,0.5,-0.65,9.72,0.0,-0.02,0.04,9.754532279919935,2.5623451563018373,0.0456062021764435,-0.05928806282937654,0.8865845703100615,0.0,-0.008888092488050463,0.017776184976100926,0.5376344086021505,-0.5508474576271187,0.9418604651162791,0.0,-0.5,1.0
7.88,0.65,-0.63,9.69,-0.0,-0.01,0.04,9.732188859655365,2.362365508345388,0.05928806282937654,-0.057463814742318806,0.8838481981794749,-0.0,-0.0044440462440252316,0.017776184976100926,0.6989247311827956,-0.5338983050847458,0.9389534883720929,-0.0,-0.25,1.0
7.89,0.65,-0.63,9.69,-0.0,-0.01,0.04,9.732188859655365,2.362365508345388,0.05928806282937654,-0.057463814742318806,0.8838481981794749,-0.0,-0.0044440462440252316,0.017776184976100926,0.6989247311827956,-0.5338983050847458,0.9389534883720929,-0.0,-0.25,1.0
7.899999999999999,0.4750000000000077,-0.6000000000000013,9.864999999999991,0.0,0.0049999999999993,0.04,9.89463743651074,2.3096667116207614,0.043325892067622024,-0.05472744261173231,0.8998103689412293,0.0,0.002222023122012305,0.017776184976100926,0.5107526881720512,-0.5084745762711875,0.9559108527131774,0.0,0.1249999999999825,1.0
7.91,0.3,-0.57,10.04,-0.0,0.02,0.04,10.060641132651536,2.5623451563018373,0.027363721305866097,-0.05199107048114558,0.9157725397029853,-0.0,0.008888092488050463,0.017776184976100926,0.3225806451612903,-0.4830508474576271,0.9728682170542634,-0.0,0.5,1.0
7.92,0.6,-0.29,9.59,-0.01,-0.0,0.04,9.613126442526385,2.362365508345388,0.054727442611732194,-0.026451597262337225,0.8747269577441862,-0.0044440462440252316,-0.0,0.017776184976100926,0.6451612903225806,-0.24576271186440676,0.9292635658914729,-0.5,-0.0,1.0
7.93,0.6,-0.29,9.59,-0.01,-0.0,0.04,9.613126442526385,2.362365508345388,0.054727442611732194,-0.026451597262337225,0.8747269577441862,-0.0044440462440252316,-0.0,0.017776184976100926,0.6451612903225806,-0.24576271186440676,0.9292635658914729,-0.5,-0.0,1.0
7.94,0.55,-0.48,9.64,-0.01,0.0,0.04,9.667600529604025,2.362365508345388,0.050166822394087845,-0.043781954089385754,0.8792875779618307,-0.0044440462440252316,0.0,0.017776184976100926,0.5913978494623656,-0.4067796610169492,0.9341085271317829,-0.5,0.0,1.0
7.95,0.43,-0.53,9.67,-0.005,0.0,0.04,9.694054879151448,2.3096667116207663,0.039221333871741405,-0.04834257430703011,0.8820239500924172,-0.0022220231220126158,0.0,0.017776184976100926,0.46236559139784944,-0.4491525423728814,0.937015503875969,-0.25,0.0,1.0
7.96,0.31,-0.58,9.7,-0.0,0.0,0.04,9.722268253859282,2.291831180523293,0.028275845349394965,-0.05290319452467445,0.8847603222230037,-0.0,0.0,0.017776184976100926,0.3333333333333333,-0.4915254237288135,0.9399224806201549,-0.0,0.0,1.0
7.97,0.31,-0.58,9.7,-0.0,0.0,0.04,9.722268253859282,2.291831180523293,0.028275845349394965,-0.05290319452467445,0.8847603222230037,-0.0,0.0,0.017776184976100926,0.3333333333333333,-0.4915254237288135,0.9399224806201549,-0.0,0.0,1.0
7.98,0.68,-0.56,9.72,0.0,-0.02,0.04,9.75983606419698,2.5623451563018373,0.062024434959963154,-0.05107894643761672,0.8865845703100615,0.0,-0.008888092488050463,0.017776184976100926,0.7311827956989247,-0.47457627118644075,0.9418604651162791,0.0,-0.5,1.0
7.99,0.68,-0.56,9.72,0.0,-0.02,0.04,9.75983606419698,2.5623451563018373,0.062024434959963154,-0.05107894643761672,0.8865845703100615,0.0,-0.008888092488050463,0.017776184976100926,0.7311827956989247,-0.47457627118644075,0.9418604651162791,0.0,-0.5,1.0
8.0,0.465,-0.525,9.85,0.0,-0.005,0.04,9.874935442826954,2.3096667116207663,0.042413768024092455,-0.04788651228526567,0.8984421828759368,0.0,-0.0022220231220126158,0.017776184976100926,0.5,-0.44491525423728817,0.9544573643410852,0.0,-0.125,1.0
8.01,0.25,-0.49,9.98,0.0,0.01,0.04,9.995148823304234,2.362365508345388,0.02280310108822175,-0.04469407813291462,0.9102997954418122,0.0,0.0044440462440252316,0.017776184976100926,0.26881720430107525,-0.4152542372881356,0.9670542635658915,0.0,0.25,1.0
8.02,0.38,-0.43,9.63,-0.01,-0.0,0.04,9.647082460516238,2.362365508345388,0.03466071365409706,-0.039221333871741405,0.8783754539183017,-0.0044440462440252316,-0.0,0.017776184976100926,0.4086021505376344,-0.364406779661017,0.933139534883721,-0.5,-0.0,1.0
8.03,0.38,-0.43,9.63,-0.01,-0.0,0.04,9.647082460516238,2.362365508345388,0.03466071365409706,-0.039221333871741405,0.8783754539183017,-0.0044440462440252316,-0.0,0.017776184976100926,0.4086021505376344,-0.364406779661017,0.933139534883721,-0.5,-0.0,1.0
8.04,0.6,-0.66,9.45,-0.0,-0.01,0.04,9.492001896333564,2.362365508345388,0.054727442611732194,-0.06020018687290542,0.861957221134782,-0.0,-0.0044440462440252316,0.017776184976100926,0.6451612903225806,-0.5593220338983051,0.9156976744186046,-0.0,-0.25,1.0
8.049999999999999,0.5300000000000062,-0.5450000000000103,9.629999999999985,0.0,-0.0050000000000004,0.04,9.659959886045062,2.309666711620769,0.04834257430703067,-0.049710760372324345,0.8783754539183003,0.0,-0.0022220231220127936,0.017776184976100926,0.5698924731182863,-0.4618644067796697,0.9331395348837195,0.0,-0.12500000000001,1.0
8.06,0.46,-0.43,9.81,-0.0,-0.0,0.04,9.83018819758808,2.291831180523293,0.04195770600232802,-0.039221333871741405,0.8947936867018215,-0.0,-0.0,0.017776184976100926,0.4946236559139785,-0.364406779661017,0.9505813953488372,-0.0,-0.0,1.0
8.07,0.46,-0.43,9.81,-0.0,-0.0,0.04,9.83018819758808,2.291831180523293,0.04195770600232802,-0.039221333871741405,0.8947936867018215,-0.0,-0.0,0.017776184976100926,0.4946236559139785,-0.364406779661017,0.9505813953488372,-0.0,-0.0,1.0
8.08,0.51,-0.64,9.63,-0.0,0.01,0.04,9.6647089971711,2.362365508345388,0.046518326219972365,-0.058375938785847674,0.8783754539183017,-0.0,0.0044440462440252316,0.017776184976100926,0.5483870967741935,-0.5423728813559322,0.933139534883721,-0.0,0.25,1.0
8.09,0.51,-0.64,9.63,-0.0,0.01,0.04,9.6647089971711,2.362365508345388,0.046518326219972365,-0.058375938785847674,0.8783754539183017,-0.0,0.0044440462440252316,0.017776184976100926,0.5483870967741935,-0.5423728813559322,0.933139534883721,-0.0,0.25,1.0
8.1,0.5449999999999999,-0.605,9.57,-0.005,0.005,0.04,9.604579636819095,2.3273655659391754,0.0497107603723234,-0.055183504633496624,0.8729027096571285,-0.0022220231220126158,0.0022220231220126158,0.017776184976100926,0.586021505376344,-0.5127118644067796,0.9273255813953488,-0.25,0.125,1.0
8.11,0.58,-0.57,9.51,-0.01,-0.0,0.04,9.544705338563364,2.362365508345388,0.05290319452467445,-0.05199107048114558,0.8674299653959553,-0.0044440462440252316,-0.0,0.017776184976100926,0.6236559139784945,-0.4830508474576271,0.9215116279069767,-0.5,-0.0,1.0
8.12,0.25,-0.53,9.85,-0.01,0.01,0.04,9.867416075143481,2.4308540536241865,0.02280310108822175,-0.04834257430703011,0.8984421828759368,-0.0044440462440252316,0.0044440462440252316,0.017776184976100926,0.26881720430107525,-0.4491525423728814,0.9544573643410852,-0.5,0.25,1.0
8.13,0.25,-0.53,9.85,-0.01,0.01,0.04,9.867416075143481,2.4308540536241865,0.02280310108822175,-0.04834257430703011,0.8984421828759368,-0.0044440462440252316,0.0044440462440252316,0.017776184976100926,0.26881720430107525,-0.4491525423728814,0.9544573643410852,-0.5,0.25,1.0
8.14,0.45,-0.56,9.77,-0.01,-0.02,0.04,9.796376881276055,2.6256224662019982,0.04104558195879915,-0.05107894643761672,0.8911451905277058,-0.0044440462440252316,-0.008888092488050463,0.017776184976100926,0.48387096774193544,-0.47457627118644075,0.946705426356589,-0.5,-0.5,1.0
8.15,0.5,-0.505,9.805,-0.005,-0.02,0.04,9.830719709156599,2.5783100780887045,0.0456062021764435,-0.04606226419820793,0.894337624680057,-0.0022220231220126158,-0.008888092488050463,0.017776184976100926,0.5376344086021505,-0.4279661016949153,0.9500968992248061,-0.25,-0.5,1.0
8.16,0.55,-0.45,9.84,0.0,-0.02,0.04,9.865627197497378,2.5623451563018373,0.050166822394087845,-0.04104558195879915,0.897530058832408,0.0,-0.008888092488050463,0.017776184976100926,0.5913978494623656,-0.38135593220338987,0.9534883720930232,0.0,-0.5,1.0
8.17,0.55,-0.45,9.84,0.0,-0.02,0.04,9.865627197497378,2.5623451563018373,0.050166822394087845,-0.04104558195879915,0.897530058832408,0.0,-0.008888092488050463,0.017776184976100926,0.5913978494623656,-0.38135593220338987,0.9534883720930232,0.0,-0.5,1.0
8.18,0.57,-0.59,9.75,-0.0,-0.01,0.04,9.784451951949071,2.362365508345388,0.05199107048114558,-0.05381531856820332,0.8893209424406482,-0.0,-0.0044440462440252316,0.017776184976100926,0.6129032258064515,-0.5,0.9447674418604651,-0.0,-0.25,1.0
8.19,0.57,-0.59,9.75,-0.0,-0.01,0.04,9.784451951949071,2.362365508345388,0.05199107048114558,-0.05381531856820332,0.8893209424406482,-0.0,-0.0044440462440252316,0.017776184976100926,0.6129032258064515,-0.5,0.9447674418604651,-0.0,-0.25,1.0
8.2,0.4750000000000084,-0.5450000000000039,9.784999999999997,0.0,-0.0050000000000004,0.04,9.811670347091772,2.309666711620769,0.043325892067622086,-0.04971076037232377,0.8925133765929989,0.0,-0.0022220231220127936,0.017776184976100926,0.510752688172052,-0.4618644067796644,0.9481589147286819,0.0,-0.12500000000001,1.0
8.21,0.38,-0.5,9.82,-0.0,-0.0,0.04,9.840060975420833,2.291831180523293,0.03466071365409706,-0.0456062021764435,0.8957058107453503,-0.0,-0.0,0.017776184976100926,0.4086021505376344,-0.42372881355932207,0.9515503875968992,-0.0,-0.0,1.0
8.22,0.69,-0.46,9.7,-0.0,-0.01,0.04,9.735383916415417,2.362365508345388,0.06293655900349202,-0.04195770600232802,0.8847603222230037,-0.0,-0.0044440462440252316,0.017776184976100926,0.7419354838709676,-0.3898305084745763,0.9399224806201549,-0.0,-0.25,1.0
8.23,0.69,-0.46,9.7,-0.0,-0.01,0.04,9.735383916415417,2.362365508345388,0.06293655900349202,-0.04195770600232802,0.8847603222230037,-0.0,-0.0044440462440252316,0.017776184976100926,0.7419354838709676,-0.3898305084745763,0.9399224806201549,-0.0,-0.25,1.0
8.24,0.32,-0.68,9.4,-0.01,0.02,0.04,9.429994697771575,2.6256224662019982,0.029187969392923837,-0.062024434959963154,0.8573966009171378,-0.0044440462440252316,0.008888092488050463,0.017776184976100926,0.3440860215053763,-0.576271186440678,0.9108527131782946,-0.5,0.5,1.0
8.25,0.55,-0.425,9.735,-0.005,0.005,0.04,9.759782272161607,2.3273655659391754,0.050166822394087845,-0.03876527184997697,0.8879527563753548,-0.0022220231220126158,0.0022220231220126158,0.017776184976100926,0.5913978494623656,-0.3601694915254237,0.943313953488372,-0.25,0.125,1.0
8.26,0.78,-0.17,10.07,-0.0,-0.01,0.04,10.101593933632454,2.362365508345388,0.07114567539525185,-0.015506108739990788,0.918508911833572,-0.0,-0.0044440462440252316,0.017776184976100926,0.8387096774193549,-0.1440677966101695,0.9757751937984496,-0.0,-0.25,1.0
8.27,0.78,-0.17,10.07,-0.0,-0.01,0.04,10.101593933632454,2.362365508345388,0.07114567539525185,-0.015506108739990788,0.918508911833572,-0.0,-0.0044440462440252316,0.017776184976100926,0.8387096774193549,-0.1440677966101695,0.9757751937984496,-0.0,-0.25,1.0
