time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gz_normalized_1,gy_normalized_1
15.5299999999999,0.23,1.56,12.08,-0.06,0.17,0.02,12.18248332648151,10.392513118364894,0.01017842546121719,0.06903627704129921,0.5345886068326247,-0.00021822220020581212,0.0006182962339164677,7.274073340193738e-05,0.003791625453346522,0.040498442367601244,0.16048890660289625,-0.009375,0.002053388090349076,0.02737520128824477
15.54,3.52,4.28,12.45,-0.03,0.18,-0.01,13.627593331179206,10.471185801540924,0.15577416358036744,0.1894072216261286,0.5509625956180609,-0.00010911110010290606,0.0006546666006174364,-3.637036670096869e-05,0.05802835476425981,0.1111111111111111,0.16540454364288562,-0.0046875,-0.001026694045174538,0.028985507246376812
15.55,0.6,2.03,6.49,0.04,0.12,-0.03,6.826492510799378,7.4484513367007015,0.02655241424665354,0.0898356682011778,0.2872086141013025,0.00014548146680387475,0.00043644440041162424,-0.00010911110010290606,0.009891196834817014,0.05269989615784007,0.08622293078251628,0.0062499999999999995,-0.0030800821355236136,0.01932367149758454
15.56,0.6,2.03,6.49,0.04,0.12,-0.03,6.826492510799378,7.4484513367007015,0.02655241424665354,0.0898356682011778,0.2872086141013025,0.00014548146680387475,0.00043644440041162424,-0.00010911110010290606,0.009891196834817014,0.05269989615784007,0.08622293078251628,0.0062499999999999995,-0.0030800821355236136,0.01932367149758454
15.57,0.6,2.03,6.49,0.04,0.12,-0.03,6.826492510799378,7.4484513367007015,0.02655241424665354,0.0898356682011778,0.2872086141013025,0.00014548146680387475,0.00043644440041162424,-0.00010911110010290606,0.009891196834817014,0.05269989615784007,0.08622293078251628,0.0062499999999999995,-0.0030800821355236136,0.01932367149758454
15.58,1.49,0.45,7.13,-0.01,0.04,-0.05,7.297910659908081,3.713190901374359,0.06593849537918962,0.019914310684990156,0.31553118929773294,-3.637036670096869e-05,0.00014548146680387475,-0.00018185183350484345,0.02456313880646225,0.011682242990654205,0.09472565431114655,-0.0015624999999999999,-0.00513347022587269,0.00644122383252818
15.59,1.49,0.45,7.13,-0.01,0.04,-0.05,7.297910659908081,3.713190901374359,0.06593849537918962,0.019914310684990156,0.31553118929773294,-3.637036670096869e-05,0.00014548146680387475,-0.00018185183350484345,0.02456313880646225,0.011682242990654205,0.09472565431114655,-0.0015624999999999999,-0.00513347022587269,0.00644122383252818
15.6,0.48,-1.16,14.2,0.03,0.07,-0.09,14.255384947450558,6.755072780152946,0.021241931397322833,-0.05133466754353018,0.6284071371708004,0.00010911110010290606,0.00025459256690678084,-0.0003273333003087182,0.00791295746785361,-0.030114226375908614,0.18865417829148398,0.0046875,-0.009240246406570842,0.011272141706924317
15.61,1.775000000006441,-0.9049999999987316,13.149999999994776,0.0249999999999751,0.1800000000005471,-0.1000000000000497,13.300080826817677,11.884559024630674,0.0785508921466351,-0.040049891488646294,0.5819404122389257,9.092591675233117e-05,0.0006546666006194263,-0.00036370366700986764,0.029261457303106513,-0.02349428868117164,0.17470439750225558,0.0039062499999961094,-0.010266940451750483,0.028985507246464915
15.6199999999999,3.07,-0.65,12.1,0.02,0.29,-0.11,12.500295996495442,17.80783797688912,0.13585985289537728,-0.028765115433874673,0.5354736873075131,7.274073340193738e-05,0.001054740634328092,-0.00040007403371065557,0.050609957138147046,-0.01687435098650052,0.16075461671316593,0.0031249999999999997,-0.011293634496919917,0.04669887278582931
15.63,3.07,-0.65,12.1,0.02,0.29,-0.11,12.500295996495442,17.80783797688912,0.13585985289537728,-0.028765115433874673,0.5354736873075131,7.274073340193738e-05,0.001054740634328092,-0.00040007403371065557,0.050609957138147046,-0.01687435098650052,0.16075461671316593,0.0031249999999999997,-0.011293634496919917,0.04669887278582931
15.64,0.91,2.38,8.61,0.05,0.4,-0.15,8.979120224164502,24.643846590014565,0.04027116160742454,0.1053245765117257,0.3810271444394783,0.00018185183350484345,0.0014548146680387476,-0.0005455555005145303,0.015001648532805804,0.06178608515057112,0.11438820247110403,0.0078125,-0.015400410677618069,0.06441223832528181
15.65,-0.52,1.82,13.98,-0.05,0.33,-0.18,14.107558257898495,21.72711561923692,-0.023012092347099736,0.08054232321484908,0.6186712519470275,-0.00018185183350484345,0.0012002221011319669,-0.0006546666006174364,-0.008572370590174745,0.047248182762201454,0.18573136707851734,-0.0078125,-0.018480492813141684,0.05314009661835749
15.66,-0.52,1.82,13.98,-0.05,0.33,-0.18,14.107558257898495,21.72711561923692,-0.023012092347099736,0.08054232321484908,0.6186712519470275,-0.00018185183350484345,0.0012002221011319669,-0.0006546666006174364,-0.008572370590174745,0.047248182762201454,0.18573136707851734,-0.0078125,-0.018480492813141684,0.05314009661835749
15.67,0.295,2.875,11.145,-0.0199999999999999,0.21,-0.195,11.513629966261727,16.459453029633735,0.013054937004604658,0.1272303182652149,0.4932110946315895,-7.274073340193701e-05,0.0007637777007203424,-0.0007092221506688895,0.004863171777118365,0.07463655244029076,0.14806695894778796,-0.003124999999999984,-0.020020533880903493,0.033816425120772944
