time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gz_normalized_1,gy_normalized_1
5.7,-5.31,0.37,9.23,0.09,0.69,0.05,-36.0,63.0,93.0,10.654853354223135,39.97176316539859,-0.1661370222431667,0.011576402679844009,0.2887843154998925,0.00013877315650910585,0.001063927533236478,7.709619806061437e-05,-0.0704430883523481,0.005382601105615363,0.4037620297462817,0.006666666666666666,0.003993610223642173,0.031123139377537207
5.712,-5.31,0.37,9.23,0.09,0.69,0.05,-36.0,63.0,93.0,10.654853354223135,39.97176316539859,-0.1661370222431667,0.011576402679844009,0.2887843154998925,0.00013877315650910585,0.001063927533236478,7.709619806061437e-05,-0.0704430883523481,0.005382601105615363,0.4037620297462817,0.006666666666666666,0.003993610223642173,0.031123139377537207
5.723,0.58,-0.92,9.74,0.1,0.59,-0.0,-36.0,61.0,95.0,9.800530597880913,34.28662937559196,0.018146793390025742,-0.02878456882555808,0.30474097865319094,0.00015419239612122874,0.0009097351371152494,-0.0,0.007694348633589812,-0.01338376491125982,0.426071741032371,0.007407407407407408,-0.0,0.02661253946774921
5.735,0.58,-0.92,9.74,0.1,0.59,-0.0,-36.0,61.0,95.0,9.800530597880913,34.28662937559196,0.018146793390025742,-0.02878456882555808,0.30474097865319094,0.00015419239612122874,0.0009097351371152494,-0.0,0.007694348633589812,-0.01338376491125982,0.426071741032371,0.007407407407407408,-0.0,0.02661253946774921
5.747,-1.26,1.09,12.28,-0.02,0.34,-0.06,-36.0,61.0,95.0,12.392501765180427,19.814732888974422,-0.03942234426109041,0.034103456543324244,0.38421141867157954,-3.083847922424575e-05,0.0005242541468121777,-9.251543767273724e-05,-0.01671530910055718,0.015856851905731745,0.537182852143482,-0.0014814814814814814,-0.004792332268370607,0.015336039693279206
5.76,-1.26,4.57,14.8,-0.03,0.11,-0.08,-36.0,61.0,95.0,15.540672443623539,7.980378637021419,-0.03942234426109041,0.14298421688347873,0.4630561071937604,-4.625771883636862e-05,0.0001696116357333516,-0.000123353916896983,-0.01671530910055718,0.0664823974396276,0.647419072615923,-0.0022222222222222222,-0.006389776357827477,0.004961659900766802
5.771,-1.26,4.57,14.8,-0.03,0.11,-0.08,-36.0,61.0,95.0,15.540672443623539,7.980378637021419,-0.03942234426109041,0.14298421688347873,0.4630561071937604,-4.625771883636862e-05,0.0001696116357333516,-0.000123353916896983,-0.01671530910055718,0.0664823974396276,0.647419072615923,-0.0022222222222222222,-0.006389776357827477,0.004961659900766802
5.783,-0.26,1.05,13.27,0.13,0.04,-0.13,-36.0,61.0,95.0,13.314015171990754,10.780136584961053,-0.008134769450701197,0.032851953550908676,0.4151861177338649,0.00020045011495759736,6.16769584484915e-05,-0.00020045011495759736,-0.00344919076678164,0.015274949083503056,0.5804899387576553,0.00962962962962963,-0.01038338658146965,0.0018042399639152007
5.794,-0.26,1.05,13.27,0.13,0.04,-0.13,-36.0,61.0,95.0,13.314015171990754,10.780136584961053,-0.008134769450701197,0.032851953550908676,0.4151861177338649,0.00020045011495759736,6.16769584484915e-05,-0.00020045011495759736,-0.00344919076678164,0.015274949083503056,0.5804899387576553,0.00962962962962963,-0.01038338658146965,0.0018042399639152007
5.807,2.24,3.27,10.13,0.19,0.35,-0.17,-36.0,61.0,95.0,10.877839859089672,24.80980029398064,0.07008416757527185,0.10231036962997274,0.31694313282924275,0.0002929655526303346,0.0005396733864243005,-0.00026212707340608884,0.02971610506765721,0.047570555717195234,0.44313210848643925,0.014074074074074074,-0.013578274760383388,0.015787099684258003
