time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz,a00,a01,a02,a10,a11,a12,a20,a21,a22
0.001,0.1,-0.28,-10.49,-0.88,-0.57,-0.95,-47.21,5.4,-45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9904887977257343,0.13696853236917417,-0.013098195313245206,0.1372630269349806,0.9902159994119771,-0.02512241917462875,0.00952906167868628,-0.02668137270032158,-0.9995985700941906
0.014,0.07,-0.17,-10.6,-0.82,-0.61,-0.95,-47.21,5.4,-45.1,10.494212690812017,65.51300710545961,81.06492306450127,-0.7125641106135292,-0.4615472080110358,-0.7692453466850598,0.0014132488479262676,-0.00395709677419355,-0.14824980414746547,0.0,0.0,0.0,-0.991146323206357,0.1323330890827768,-0.010812933382282135,0.13252933645055043,0.9909757400127537,-0.02007629662442606,0.008058596310563222,-0.021331578469137944,-0.9997399775869316
0.025,0.07,-0.17,-10.6,-0.82,-0.61,-0.95,-47.21,5.4,-45.1,10.60159421973884,65.51300710545961,79.94763263207277,-1.3765443045943178,-0.9554836937772322,-1.5384906933701197,0.002402523041474655,-0.006359619815668205,-0.2980541820276498,1.9972723061649225e-05,-5.592362457261784e-05,-0.002095138649167004,-0.9913592038765242,0.1307883390916025,-0.01006673963922876,0.13095647458011989,0.9912173363407457,-0.01840092125692754,0.007571700921883215,-0.019560227381531643,-0.9997800092269961
0.038,0.03,-0.16,-10.25,-0.73,-0.63,-0.98,-47.21,5.4,-45.1,10.60159421973884,65.51300710545961,79.94763263207277,-2.040524498575106,-1.4494201795434285,-2.3077360400551794,0.0033917972350230425,-0.00876214285714286,-0.4478585599078342,5.3926352266452904e-05,-0.00014580087835003937,-0.006307385942868825,-0.9914664655357214,0.1300645091897589,-0.008801770692957959,0.1302029911516052,0.9913311615558826,-0.017598557424956012,0.006436521830873848,-0.018594396400302228,-0.9998063910624042
0.098,-0.07,-0.62,-9.46,-0.74,-0.72,-0.91,-47.58,3.31,-43.75,10.25129260142349,65.51300710545961,78.77284153051862,-2.6316288176067837,-1.959551304187205,-3.1012733450566095,0.0038157718894009226,-0.011023341013824888,-0.5927165668202766,0.00010186088761441104,-0.0002696317613322646,-0.012636741881105465,-0.9915643403216745,0.12940499269880767,-0.007382876611725014,0.12955705376599064,0.9912179556437667,-0.026494041384203804,0.0038895786299594456,-0.027227050409716125,-0.9996217078995775
0.109,-0.07,-0.62,-9.46,-0.74,-0.72,-0.91,-47.58,3.31,-43.75,9.480553781293581,64.72151883261084,78.85406462293015,-3.230830456077251,-2.5425583037800923,-3.838129413986509,0.002826497695852535,-0.01978548387096775,-0.7264099078341015,0.00015578723988086396,-0.00042541900121312857,-0.02101330193316115,-0.9916098862874632,0.12910782583358496,-0.0064033370588434425,0.12924889070807155,0.9910755514893155,-0.032618637170824326,0.002134869480185549,-0.03317258730749853,-0.9994473581853268
0.121,-0.18,-0.3,-10.12,-0.85,-0.59,-0.86,-47.58,3.31,-43.75,9.480553781293581,64.72151883261084,78.85406462293015,-3.8300320945477186,-3.1255653033729796,-4.574985482916409,0.0018372235023041477,-0.028547626728110606,-0.8601032488479264,0.00019573268600416241,-0.0007050371240762178,-0.03127928158684885,-0.992176353268436,0.12479847172444508,-0.003380158308499448,0.12484225379206035,0.9916441678548482,-0.03250009273193647,-0.0007040476307988309,-0.03266781006906576,-0.9994660166820205
0.134,-0.05,-0.53,-10.13,-0.83,-0.56,-0.91,-47.58,3.31,-43.75,10.126045625020657,64.72151883261084,77.08784634941658,-4.5183042468448775,-3.6033071502615956,-5.271354954652358,-0.0007066244239631336,-0.03278737327188941,-1.0031240322580648,0.0002216972259843064,-0.0011084861299215322,-0.043434680842168574,-0.9922905912646947,0.12389344668138905,-0.003129913252564286,0.12392685075321429,0.9916739870389981,-0.03499770124690501,-0.0012321322791479846,-0.03511576995571756,-0.9993824916169304
0.148,-0.05,-0.53,-10.13,-0.83,-0.56,-0.91,-47.58,3.31,-43.75,10.14397850944096,64.72151883261084,77.5209991185066,-5.190381760264456,-4.056757038833841,-6.008211023582257,-0.0014132488479262674,-0.04027759216589863,-1.1462861405529956,0.0002117108644534818,-0.0015718533049517943,-0.057611319671327196,-0.9923795364650353,0.12318384513460136,-0.0029318770943138677,0.12320777787503376,0.9916931386203772,-0.03693998219221976,-0.001642886647932019,-0.03701971246673483,-0.9993131850487826
0.159,0.18,-0.8,-9.68,-0.81,-0.59,-0.94,-47.58,3.31,-43.75,10.14397850944096,64.72151883261084,77.5209991185066,-5.862459273684035,-4.510206927406087,-6.745067092512157,-0.002119873271889401,-0.04776781105990785,-1.2894482488479264,0.00019173814139183257,-0.0021410759122087973,-0.07381119534663089,-0.9921623963558762,0.1248355224487816,-0.005465491039700588,0.12495475598044767,0.9913140276536463,-0.0410220371870078,0.0002970104915170381,-0.041383461818040645,-0.9991432934633163
0.17200000000000001,0.18,-0.8,-9.68,-0.81,-0.59,-0.94,-47.58,3.31,-43.75,9.714669320157016,64.72151883261084,78.72281643559363,-6.518342148226033,-4.987948774294703,-7.506215119758426,0.00042397465437788015,-0.059073801843317994,-1.426250737327189,0.00016177905679935872,-0.0028161539516925412,-0.09203430786807965,-0.9919783992725689,0.12618092221720797,-0.007565067418525633,0.12639326521863528,0.9909869032367127,-0.04438130372895945,0.0018968089001395554,-0.044981468203309456,-0.998986020740166
0.183,0.28,-0.87,-9.46,-0.89,-0.61,-0.91,-47.58,3.31,-43.75,9.714669320157016,64.72151883261084,78.72281643559363,-7.174225022768031,-5.465690621183319,-8.267363147004696,0.0029678225806451615,-0.07037979262672814,-1.5630532258064518,0.0001677708737178535,-0.003651013775669479,-0.11219077998189604,-0.9917523589170282,0.12775653112000482,-0.010272650032661767,0.12810402554840808,0.9906107933051623,-0.0477453120799307,0.004076422549627368,-0.048667493704734895,-0.9988067169556363
