time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized
36.64,-0.37,0.9,9.34,0.01,0.18,0.05,9.390553764288876,10.719058832304777,-0.019409839915939007,0.047213124119851645,0.48996731031046037,6.937731656146841e-05,0.0012487916981064314,0.00034688658280734207
36.65,-0.37,0.9,9.34,0.01,0.18,0.05,9.390553764288876,10.719058832304777,-0.019409839915939007,0.047213124119851645,0.48996731031046037,6.937731656146841e-05,0.0012487916981064314,0.00034688658280734207
36.66,-0.97,1.9,11.1,-0.02,0.33,0.04,11.303136732783514,19.080440881077738,-0.0508852559958401,0.0996721509196868,0.5822951974781703,-0.00013875463312293683,0.002289451446528458,0.00027750926624587366
36.67,-0.97,1.9,11.1,-0.02,0.33,0.04,11.303136732783514,19.080440881077738,-0.0508852559958401,0.0996721509196868,0.5822951974781703,-0.00013875463312293683,0.002289451446528458,0.00027750926624587366
36.68,-0.93,1.58,9.35,-0.02,0.27,0.0,9.52805331639155,15.512243727322648,-0.0487868949238467,0.08288526234373955,0.4904919005784587,-0.00013875463312293683,0.0018731875471596474,0.0
36.69,-0.89,1.64,9.54,0.0,0.13,-0.02,9.720766430688476,7.536083190570761,-0.046688533851853294,0.08603280395172966,0.5004591156704273,0.0,0.0009019051152990894,-0.00013875463312293683
36.7,-0.89,1.64,9.54,0.0,0.13,-0.02,9.720766430688476,7.536083190570761,-0.046688533851853294,0.08603280395172966,0.5004591156704273,0.0,0.0009019051152990894,-0.00013875463312293683
36.71,-0.89,1.64,9.54,0.0,0.13,-0.02,9.720766430688476,7.536083190570761,-0.046688533851853294,0.08603280395172966,0.5004591156704273,0.0,0.0009019051152990894,-0.00013875463312293683
36.72,-1.53,1.72,8.35,0.02,-0.03,-0.01,8.661512569984529,2.1438117664609555,-0.0802623110037478,0.09022952609571647,0.43803287377862354,0.00013875463312293683,-0.00020813194968440524,-6.937731656146841e-05
36.73,-1.53,1.72,8.35,0.02,-0.03,-0.01,8.661512569984529,2.1438117664609555,-0.0802623110037478,0.09022952609571647,0.43803287377862354,0.00013875463312293683,-0.00020813194968440524,-6.937731656146841e-05
36.74,-1.35,-0.73,10.18,0.0,-0.16,-0.01,10.295037639562082,9.185212201974531,-0.07081968617977746,-0.03829508956387966,0.5340328928223219,0.0,-0.0011100370649834946,-6.937731656146841e-05
36.75,0.26,-3.99,9.81,-0.03,-0.15,-0.01,10.593573523603828,8.783276679308011,0.013639346967957142,-0.20931151693134228,0.5146230529063829,-0.00020813194968440524,-0.0010406597484220262,-6.937731656146841e-05
36.75,0.26,-3.99,9.81,-0.03,-0.15,-0.01,10.593573523603828,8.783276679308011,0.013639346967957142,-0.20931151693134228,0.5146230529063829,-0.00020813194968440524,-0.0010406597484220262,-6.937731656146841e-05
36.76,0.181250000000014,-3.9837500000000015,9.903749999999985,-0.0262500000000006,-0.1087500000000073,-0.01,10.676487235392534,6.435421808970428,0.009508198607470857,-0.2089836480138434,0.5195410866688667,-0.00018211545597385874,-0.0007544783176060197,-6.937731656146841e-05
36.77,0.102499999999972,-3.977499999999998,9.997500000000034,-0.0224999999999986,-0.0674999999999853,-0.01,10.760158862674874,4.1167326585447475,0.005377050246981635,-0.20865577909634422,0.5244591204313538,-0.00015609896226329422,-0.00046829688678980976,-6.937731656146841e-05
36.78,0.023749999999986,-3.971249999999999,10.091250000000016,-0.0187499999999993,-0.0262499999999926,-0.01,10.844570862302497,1.9350583952379274,0.0012459018864953506,-0.20832791017884533,0.5293771541938374,-0.00013008246855274842,-0.00018211545597380323,-6.937731656146841e-05
36.79,-0.0549999999999999,-3.965,10.185,-0.015,0.0149999999999999,-0.01,10.92970608022009,1.3437051359976449,-0.0028852464739909287,-0.20800004126134639,0.5342951879563211,-0.00010406597484220262,0.00010406597484220193,-6.937731656146841e-05
36.8,-0.133749999999986,-3.958750000000001,10.278749999999985,-0.0112500000000006,0.0562499999999926,-0.01,11.015547747956054,3.3362801561778173,-0.007016394834477218,-0.2076721723438475,0.5392132217188048,-7.804948113165613e-05,0.0003902474056582085,-6.937731656146841e-05
36.81,-0.2125000000000279,-3.952499999999998,10.372500000000034,-0.0074999999999986,0.0975000000000146,-0.01,11.102079478638258,5.6320614660173725,-0.011147543194966435,-0.20734430342634835,0.5441312554812919,-5.2032987421091594e-05,0.0006764288364744183,-6.937731656146841e-05
36.82,-0.291250000000014,-3.946249999999999,10.466250000000016,-0.0037499999999993,0.1387500000000072,-0.01,11.189285262584932,7.973305257040691,-0.015278691555452724,-0.20701643450884946,0.5490492892437756,-2.6016493710545797e-05,0.0009626102672904242,-6.937731656146841e-05
