time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gy_normalized_1,gz_normalized_1,ax_filter,ay_filter,az_filter,gx_filter,gy_filter,gz_filter,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
6.363,-1.86,-1.69,5.7,-2.864788975654116,-2.291831180523293,-2.864788975654116,-33.0,32.0,90.0,6.2294221240818155,4.654731131878351,-0.060422024626735,-0.05489958151568933,0.1851642690174137,-8.197022737363011e-05,-6.557618189890408e-05,-8.197022737363011e-05,-0.02532334921715453,-0.017927230295958416,0.078039430449069,-0.0036049026676279743,-0.0014925373134328358,-0.0035816618911174783,-1.86,-1.69,5.7,-2.864788975654116,-2.291831180523293,-2.864788975654116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.442,-1.6,-1.31,10.67,1.1459155902616465,8.594366926962348,-0.0,-35.0,30.0,87.0,10.868532559642079,8.670424754028428,-0.051975935162782795,-0.04255529691452842,0.3466145176168078,3.278809094945204e-05,0.00024591068212089027,-0.0,-0.02178352620830497,-0.013896255436512147,0.14608433734939757,0.0014419610670511898,0.005597014925373134,-0.0,-1.73,-1.5,8.185,-0.8594366926962348,3.1512678732195276,-1.432394487827058,-0.03914061082399718,-0.03131248865919775,-0.03914061082399718,-0.02541253012048192,-0.02308987951807228,0.07787710843373491,0.0,0.0,0.0
6.531,-3.52,0.87,10.11,2.864788975654116,29.79380534680281,-12.605071492878112,-36.0,29.0,87.0,10.74054933418212,32.47715628343673,-0.11434705735812214,0.028261914744763146,0.32842294030983377,8.197022737363011e-05,0.0008524903646857531,-0.0003606690004439724,-0.04792375765827093,0.009228810862416463,0.13841730558598025,0.0036049026676279743,0.019402985074626865,-0.015759312320916905,-2.3266666666666667,-0.71,8.826666666666666,0.38197186342054884,12.032113697747286,-5.15662015617741,-0.023484366494398307,0.0861093438127938,-0.03914061082399718,-0.047272771084337334,-0.0409879518072289,0.2236575903614457,-0.0003472025199593552,-0.0003154689563071561,0.0010640077224560885
6.543,-3.52,0.87,10.11,2.864788975654116,29.79380534680281,-12.605071492878112,-36.0,29.0,87.0,10.74054933418212,32.47715628343673,-0.11434705735812214,0.028261914744763146,0.32842294030983377,8.197022737363011e-05,0.0008524903646857531,-0.0003606690004439724,-0.04792375765827093,0.009228810862416463,0.13841730558598025,0.0036049026676279743,0.019402985074626865,-0.015759312320916905,-2.625,-0.31499999999999995,9.1475,1.0026761414789407,16.47253661001117,-7.018732990352586,0.015656244329598876,0.4931716963823645,-0.2113592984495848,-0.09536530120481924,-0.02910144578313252,0.3617869879518071,-0.0009930738742923494,-0.000875473020757729,0.004119763234141382
6.555,-1.13,5.2,10.16,1.7188733853924696,9.167324722093172,-17.761691649055518,-36.0,29.0,87.0,11.469197879538047,20.061706271188395,-0.036708004208715346,0.16892178927904408,0.33004718828367074,4.918213642417806e-05,0.00026230472759561634,-0.0005082154097165066,-0.015384615384615382,0.05516070860294898,0.13910186199342825,0.0021629416005767843,0.005970149253731343,-0.022206303724928364,-2.3259999999999996,0.788,9.35,1.1459155902616465,15.01149423242757,-9.167324722093174,0.05479685515359606,0.9002340489519353,-0.3835779860751724,-0.14345783132530116,-0.017214939759036138,0.49991638554216844,-0.002296016664247349,-0.0012730759065176357,0.009062732443025107
6.566,-1.13,5.2,10.16,1.7188733853924696,9.167324722093172,-17.761691649055518,-36.0,29.0,87.0,11.469197879538047,20.061706271188395,-0.036708004208715346,0.16892178927904408,0.33004718828367074,4.918213642417806e-05,0.00026230472759561634,-0.0005082154097165066,-0.015384615384615382,0.05516070860294898,0.13910186199342825,0.0021629416005767843,0.005970149253731343,-0.022206303724928364,-2.1266666666666665,1.5233333333333334,9.485,1.2414085561167836,14.03746598070517,-10.59971920992023,0.07828122164799436,1.0254840035887263,-0.6262497731839549,-0.15889662650602404,0.05383084337349396,0.6387289156626503,-0.004256030889824354,-0.0015082776135868763,0.01589291534910726
6.579,-0.54,9.24,5.8,2.291831180523293,22.91831180523293,-18.334649444186343,-36.0,29.0,87.0,10.922875079391872,29.439104544858363,-0.017541878117439194,0.3001610255650706,0.18841276496508763,6.557618189890408e-05,0.0006557618189890409,-0.0005246094551912327,-0.007351940095302927,0.09801633605600935,0.07940854326396495,0.0028839221341023795,0.014925373134328358,-0.022922636103151862,-1.8999999999999997,2.625714285714286,8.958571428571428,1.3914689310319992,15.306158241351993,-11.704709243386818,0.10176558814239267,1.1507339582255174,-0.8689215602927374,-0.17433542168674693,0.12487662650602406,0.7775414457831322,-0.006426979979677742,-0.0007728056089417904,0.024619645353462023
6.591,-0.1,16.42,8.67,4.583662361046586,51.56620156177409,-20.05352282957881,-36.0,29.0,87.0,18.568664464629652,55.517806891357175,-0.0032484959476739247,0.5334030346080585,0.28164459866332925,0.00013115236379780817,0.0014754640927253418,-0.0005737915916154107,-0.0013614703880190607,0.1741805452423889,0.11870208105147863,0.005767844268204759,0.033582089552238806,-0.025071633237822348,-1.6749999999999996,4.3500000000000005,8.9225,1.7904931097838226,19.838663656404755,-12.748310941660817,0.13307807680159042,1.4638588448174947,-1.1194214695663194,-0.18171325301204813,0.25111951807228905,0.8567848192771081,-0.008808863933807512,0.000933340107417622,0.03524292245608939
6.603,-0.1,16.42,8.67,4.583662361046586,51.56620156177409,-20.05352282957881,-36.0,29.0,87.0,18.568664464629652,55.517806891357175,-0.0032484959476739247,0.5334030346080585,0.28164459866332925,0.00013115236379780817,0.0014754640927253418,-0.0005737915916154107,-0.0013614703880190607,0.1741805452423889,0.11870208105147863,0.005767844268204759,0.033582089552238806,-0.025071633237822348,-1.4999999999999996,5.691111111111112,8.894444444444444,2.1008452488130183,23.36394564589024,-13.560001151429482,0.19570305411998593,2.168389839649444,-1.3934057453342996,-0.1830795180722891,0.47546024096385525,0.9752399999999997,-0.011291548619538386,0.0043642983422847986,0.0469488740833212
6.614,-2.87,9.61,7.0,14.896902673401405,68.75493541569878,-27.501974166279513,-36.0,29.0,87.0,12.230658199786307,75.53487562921124,-0.09323183369824165,0.31218046057146415,0.22739471633717473,0.00042624518234287654,0.001967285456967122,-0.0007869141827868489,-0.03907420013614704,0.1019412326296807,0.09583789704271631,0.018745493871665467,0.04477611940298507,-0.03438395415472779,-1.6369999999999998,6.083,8.705,3.380450991271857,27.903044622871096,-14.954198452914486,0.25832803143838146,2.8729208344813935,-1.6673900211022799,-0.18444578313253004,0.6998009638554215,1.0936951807228912,-0.013792900107417612,0.010860345489911445,0.06027323745681516
