time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,ax_filter,ay_filter,az_filter,gx_filter,gy_filter,gz_filter,mx_filter,my_filter,mz_filter
0.0,-1.35,0.26,-10.0,-0.0,-0.0,0.0,-66.0,-7.0,-94.0,0.0,0.0,0.0,-1.35,0.26,-10.0,0.0,0.0,0.0,-66.0,-7.0,-94.0
0.01,-1.35,0.27,-9.97,-0.0,-0.0,0.0,-66.0,-7.0,-94.0,10.094062611258165,115.06954418958998,0.0,-1.35,0.265,-9.985,0.0,0.0,0.0,-66.0,-7.0,-94.0
0.03,-1.35,0.27,-9.97,-0.0,-0.0,0.0,-66.0,-7.0,-94.0,10.06460630129167,115.06954418958998,0.0,-1.3500000000000003,0.26666666666666666,-9.979999999999999,0.0,0.0,0.0,-66.0,-7.0,-94.0
0.04,-1.35,0.27,-9.99,-0.0,-0.0,0.0,-66.0,-7.0,-94.0,10.06460630129167,115.06954418958998,0.0,-1.35,0.2675,-9.9825,0.0,0.0,0.0,-66.0,-7.0,-94.0
0.1,-1.35,0.27,-10.0,-0.0,-0.0,0.0,-66.0,2.0,-91.0,10.084418674370873,115.06954418958998,0.0,-1.35,0.268,-9.986,0.0,0.0,0.0,-66.0,-5.2,-93.4
0.11,-1.35,0.25,-9.99,-0.0,-0.0,0.0,-66.0,2.0,-91.0,10.094325138413167,112.43220179290273,0.0,-1.35,0.266,-9.984,0.0,0.0,0.0,-66.0,-3.4,-92.8
0.12,-1.35,0.25,-9.99,-0.0,-0.0,0.0,-66.0,2.0,-91.0,10.083903014210321,112.43220179290273,0.0,-1.35,0.262,-9.988,0.0,0.0,0.0,-66.0,-1.6,-92.2
0.13,-1.33,0.26,-9.97,-0.0,-0.0,0.0,-66.0,2.0,-91.0,10.083903014210321,112.43220179290273,0.0,-1.346,0.26,-9.988000000000001,0.0,0.0,0.0,-66.0,0.2,-91.6
0.15,-1.36,0.26,-9.99,-0.0,-0.0,0.0,-66.0,2.0,-91.0,10.061679780235506,112.43220179290273,0.0,-1.348,0.258,-9.988000000000001,0.0,0.0,0.0,-66.0,2.0,-91.0
0.16,-1.36,0.26,-9.99,-0.0,-0.0,0.0,-66.0,2.0,-91.0,10.085499491844715,112.43220179290273,0.0,-1.35,0.256,-9.986,0.0,0.0,0.0,-66.0,2.0,-91.0
0.17,-1.35,0.26,-9.97,-0.0,-0.0,0.0,-66.0,2.0,-91.0,10.085499491844715,112.43220179290273,0.0,-1.35,0.258,-9.982000000000001,0.0,0.0,0.0,-66.0,2.0,-91.0
0.18,-1.35,0.26,-9.97,-0.0,-0.0,0.0,-66.0,2.0,-91.0,10.06434299892447,112.43220179290273,0.0,-1.35,0.26,-9.978,0.0,0.0,0.0,-66.0,2.0,-91.0
0.19,-1.34,0.26,-9.99,-0.0,-0.0,0.0,-66.0,2.0,-91.0,10.06434299892447,112.43220179290273,0.0,-1.3520000000000003,0.26,-9.982000000000001,0.0,0.0,0.0,-66.0,2.0,-91.0
0.21,-1.36,0.26,-10.0,-0.0,-0.0,0.0,-69.0,-7.0,-91.0,10.082822025603745,112.43220179290273,0.0,-1.352,0.26,-9.984,0.0,0.0,0.0,-66.6,0.2,-91.0
0.22,-1.36,0.26,-10.0,-0.0,-0.0,0.0,-69.0,-7.0,-91.0,10.095404895297662,114.41590798486021,0.0,-1.3519999999999999,0.26,-9.986,0.0,0.0,0.0,-67.2,-1.6,-91.0
0.23,-1.35,0.27,-9.98,-0.0,-0.0,0.0,-69.0,-7.0,-91.0,10.095404895297662,114.41590798486021,0.0,-1.3519999999999999,0.262,-9.988,0.0,0.0,0.0,-67.8,-3.4,-91.0
0.25,-1.35,0.27,-9.98,-0.0,-0.0,0.0,-69.0,-7.0,-91.0,10.074512395148462,114.41590798486021,0.0,-1.352,0.264,-9.99,0.0,0.0,0.0,-68.4,-5.2,-91.0
0.26,-1.35,0.26,-9.98,-0.0,-0.0,0.0,-69.0,-7.0,-91.0,10.074512395148462,114.41590798486021,0.0,-1.3540000000000003,0.264,-9.988,0.0,0.0,0.0,-69.0,-7.0,-91.0
0.27,-1.35,0.26,-9.98,-0.0,-0.0,0.0,-69.0,-7.0,-91.0,10.07424935168869,114.41590798486021,0.0,-1.352,0.264,-9.984,0.0,0.0,0.0,-69.0,-7.0,-91.0
0.28,-1.35,0.26,-9.98,-0.0,-0.0,0.0,-69.0,-7.0,-91.0,10.07424935168869,114.41590798486021,0.0,-1.35,0.264,-9.98,0.0,0.0,0.0,-69.0,-7.0,-91.0
0.29,-1.33,0.25,-9.97,-0.0,-0.0,0.0,-69.0,-7.0,-91.0,10.07424935168869,114.41590798486021,0.0,-1.346,0.26,-9.978,0.0,0.0,0.0,-69.0,-7.0,-91.0
0.31,-1.34,0.26,-9.98,-0.0,0.0,0.0,-69.0,-7.0,-91.0,10.06142634023626,114.41590798486021,0.0,-1.3439999999999999,0.258,-9.978,0.0,0.0,0.0,-69.0,-7.0,-91.0
0.32,-1.34,0.26,-9.98,-0.0,0.0,0.0,-69.0,-7.0,-91.0,10.072914176145849,114.41590798486021,0.0,-1.3419999999999999,0.258,-9.978,0.0,0.0,0.0,-69.0,-7.0,-91.0
0.33,-1.36,0.27,-10.0,-0.0,-0.0,0.0,-72.0,-4.0,-91.0,10.072914176145849,114.41590798486021,0.0,-1.344,0.26,-9.982,0.0,0.0,0.0,-69.6,-6.4,-91.0
0.34,-1.36,0.27,-10.0,-0.0,-0.0,0.0,-72.0,-4.0,-91.0,10.095667387547987,116.1077086157504,0.0,-1.346,0.262,-9.986,0.0,0.0,0.0,-70.2,-5.8,-91.0
0.36,-1.34,0.26,-9.96,-0.0,-0.0,0.0,-72.0,-4.0,-91.0,10.095667387547987,116.1077086157504,0.0,-1.348,0.264,-9.984,0.0,0.0,0.0,-70.8,-5.2,-91.0
0.37,-1.62,0.96,-11.95,0.01,0.04,0.01,-72.0,-4.0,-91.0,10.05309902467891,116.1077086157504,0.0,-1.4040000000000001,0.404,-10.378,6.565612700023488,26.26245080009395,6.565612700023488,-71.4,-4.6,-91.0
0.38,-1.62,0.96,-11.95,0.01,0.04,0.01,-72.0,-4.0,-91.0,12.097458410757193,116.1077086157504,2.4308540536241865,-1.4600000000000002,0.5439999999999999,-10.772,13.131225400046976,52.5249016001879,13.131225400046976,-72.0,-4.0,-91.0
0.4,-2.87,0.61,-13.27,-0.0,-0.04,0.01,-72.0,-4.0,-91.0,12.097458410757193,116.1077086157504,2.4308540536241865,-1.762,0.612,-11.426,13.131225400046976,26.26245080009395,19.696838100070465,-72.0,-4.0,-91.0
0.41,-1.26,0.25,-10.7,-0.0,0.02,0.01,-72.0,-4.0,-91.0,13.590507716785272,116.1077086157504,2.362365508345388,-1.7420000000000002,0.608,-11.566,13.131225400046976,39.39367620014093,26.26245080009395,-72.0,-4.0,-91.0
0.42,-1.26,0.25,-10.7,-0.0,0.02,0.01,-72.0,-4.0,-91.0,10.776831630864425,116.1077086157504,1.2811725781509187,-1.7260000000000002,0.606,-11.714000000000002,13.131225400046976,52.5249016001879,32.828063500117445,-72.0,-4.0,-91.0
0.43,-1.57,0.34,-10.59,-0.01,-0.02,0.0,-72.0,-4.0,-91.0,10.776831630864425,116.1077086157504,1.2811725781509187,-1.716,0.48200000000000004,-11.441999999999998,0.0,13.131225400046976,26.26245080009395,-72.0,-4.0,-91.0
0.44,-1.57,0.34,-10.59,-0.01,-0.02,0.0,-72.0,-4.0,-91.0,10.711143729779748,116.1077086157504,1.2811725781509187,-1.7060000000000002,0.358,-11.169999999999998,-13.131225400046976,-26.26245080009395,19.696838100070465,-72.0,-4.0,-91.0
0.46,-1.42,0.25,-10.02,-0.0,-0.0,0.0,-69.0,-1.0,-94.0,10.711143729779748,116.1077086157504,1.2811725781509187,-1.416,0.28600000000000003,-10.52,-13.131225400046976,0.0,13.131225400046976,-71.4,-3.4,-91.6
