time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,ax_filter,ay_filter,az_filter,gx_filter,gy_filter,gz_filter,mx_filter,my_filter,mz_filter
0.0,-0.33,0.88,-9.98,-0.0,0.05,0.0,12.0,16.0,-100.0,0.0,0.0,0.0,-0.33,0.88,-9.98,0.0,164.14031750058717,0.0,12.0,16.0,-100.0
0.01,-0.32,0.88,-9.97,-0.0,0.04,0.0,12.0,16.0,-100.0,10.024155824806396,101.9803902718557,2.864788975654116,-0.325,0.88,-9.975000000000001,0.0,147.7262857505285,0.0,12.0,16.0,-100.0
0.03,-0.32,0.88,-9.97,-0.0,0.04,0.0,12.0,16.0,-100.0,10.013875373700234,101.9803902718557,2.291831180523293,-0.3233333333333333,0.88,-9.973333333333334,0.0,142.25494183384222,0.0,12.0,16.0,-100.0
0.04,-0.31,0.9,-9.98,-0.0,0.02,-0.0,12.0,16.0,-100.0,10.013875373700234,101.9803902718557,2.291831180523293,-0.32,0.885,-9.975000000000001,0.0,123.1052381254404,0.0,12.0,16.0,-100.0
0.1,-0.42,0.91,-9.97,-0.0,0.01,-0.0,12.0,16.0,-100.0,10.02529301317423,101.9803902718557,1.1459155902616465,-0.33999999999999997,0.89,-9.974,0.0,105.0498032003758,0.0,12.0,16.0,-100.0
0.11,-0.42,0.91,-9.97,-0.0,0.01,-0.0,12.0,16.0,-100.0,10.020249497891756,101.9803902718557,0.5729577951308232,-0.358,0.8960000000000001,-9.972,0.0,78.78735240028186,0.0,12.0,16.0,-100.0
0.12,-0.43,0.89,-10.02,-0.0,0.02,-0.0,12.0,16.0,-100.0,10.020249497891756,101.9803902718557,0.5729577951308232,-0.38,0.898,-9.982,0.0,65.65612700023489,0.0,12.0,16.0,-100.0
0.13,-0.42,0.89,-9.99,-0.0,0.04,-0.0,12.0,16.0,-100.0,10.068634465507227,101.9803902718557,1.1459155902616465,-0.4,0.9,-9.985999999999999,0.0,65.65612700023489,0.0,12.0,16.0,-100.0
0.15,-0.42,0.89,-9.99,-0.0,0.04,-0.0,12.0,16.0,-100.0,10.038356439178678,101.9803902718557,2.291831180523293,-0.422,0.898,-9.988,0.0,78.78735240028185,0.0,12.0,16.0,-100.0
0.16,-0.34,0.89,-9.95,-0.0,0.04,0.0,12.0,16.0,-100.0,10.038356439178678,101.9803902718557,2.291831180523293,-0.40599999999999997,0.8939999999999999,-9.984,0.0,98.48419050035234,0.0,12.0,16.0,-100.0
0.17,-0.29,0.88,-9.97,-0.0,0.03,0.0,12.0,16.0,-100.0,9.99550899154215,101.9803902718557,2.291831180523293,-0.38,0.8880000000000001,-9.984,0.0,111.61541590039928,0.0,12.0,16.0,-100.0
0.18,-0.29,0.88,-9.97,-0.0,0.03,0.0,12.0,16.0,-100.0,10.012961599846472,101.9803902718557,1.7188733853924696,-0.352,0.8859999999999999,-9.974,0.0,118.18102860042279,0.0,12.0,16.0,-100.0
