time,ax,ay,az,gx,gy,gz,mx,my,mz
58.00,7.62,0.20,2.72,-0.02,3.56,0.15,100.00,100.00,100.00
69.00,7.62,0.20,2.72,-0.02,3.56,0.15,100.00,100.00,100.00
81.00,7.22,0.21,2.95,-0.05,3.77,0.14,100.00,100.00,100.00
168.00,3.07,-0.89,8.07,-0.15,4.60,0.14,100.00,100.00,100.00
180.00,2.93,-1.11,11.75,-0.31,4.84,0.12,100.00,100.00,100.00
192.00,2.93,-1.11,11.75,-0.31,4.84,0.12,100.00,100.00,100.00
204.00,1.62,-1.18,12.77,-0.58,4.97,0.10,-72.00,100.00,100.00
218.00,0.40,-1.00,12.71,-0.86,5.03,0.04,-72.00,100.00,100.00
230.00,0.40,-1.00,12.71,-0.86,5.03,0.04,-72.00,100.00,100.00
241.00,-0.47,-0.77,11.75,-1.11,5.11,-0.05,-72.00,100.00,100.00
253.00,-0.47,-0.77,11.75,-1.11,5.11,-0.05,-72.00,100.00,100.00
265.00,-0.87,-0.83,11.19,-1.29,5.15,-0.16,-72.00,100.00,100.00
279.00,-3.89,-3.33,1.30,-1.15,5.24,-0.14,-72.00,100.00,100.00
291.00,-3.89,-3.33,1.30,-1.15,5.24,-0.14,-72.00,100.00,100.00
303.00,1.19,0.03,12.73,0.01,2.52,0.38,-72.00,100.00,100.00
315.00,1.19,0.03,12.73,0.01,2.52,0.38,-72.00,100.00,100.00
328.00,0.74,0.74,4.15,0.18,0.59,-0.01,-100.00,100.00,100.00
339.00,-0.47,-0.62,3.62,0.03,-0.36,-0.01,-100.00,100.00,100.00
350.00,-0.47,-0.62,3.62,0.03,-0.36,-0.01,-100.00,100.00,100.00
362.00,1.49,-1.54,14.39,0.06,-2.05,0.18,-100.00,100.00,100.00
375.00,1.49,-1.54,14.39,0.06,-2.05,0.18,-100.00,100.00,100.00
387.00,0.91,-1.50,12.00,0.70,-1.98,0.35,-100.00,100.00,100.00
399.00,1.46,-1.17,9.24,0.77,-0.70,0.45,-100.00,100.00,100.00
411.00,1.46,-1.17,9.24,0.77,-0.70,0.45,-100.00,100.00,100.00
415.00,1.46,-1.17,9.24,0.77,-0.70,0.45,-100.00,100.00,100.00
493.00,-1.05,-0.95,9.69,0.00,1.36,0.16,-60.00,100.00,97.00
571.00,-3.75,0.49,22.67,0.49,0.67,0.14,-60.00,100.00,97.00
649.00,-1.67,-0.23,10.06,0.01,0.09,0.01,-90.00,100.00,100.00
740.00,0.10,-0.35,9.76,0.00,-0.01,0.00,-100.00,100.00,97.00
752.00,0.10,-0.35,9.76,0.00,-0.01,0.00,-100.00,100.00,97.00
