time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
0.002,-10.0,-0.07,-0.28,0.0,-0.0,-0.0,-95.0,47.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014,-10.0,-0.07,-0.28,0.0,-0.0,-0.0,-95.0,47.0,-93.0,10.004164132999819,141.0070920202243,0.0,0.0,0.0,0.0,-0.1406901157613535,-0.0009848308103294747,-0.003939323241317899,0.0,0.0,0.0
0.025,-10.01,-0.08,-0.27,0.0,-0.0,-0.0,-95.0,47.0,-93.0,10.004164132999819,141.0070920202243,0.0,0.0,0.0,0.0,-0.281380231522707,-0.0019696616206589493,-0.007878646482635797,-0.001979370867294305,-1.3855596071060139e-05,-5.5422384284240556e-05
0.08600000000000001,-10.02,-0.09,-0.28,0.0,-0.0,-0.0,-95.0,47.0,-93.0,10.01396025556323,141.0070920202243,0.0,0.0,0.0,0.0,-0.4222110373998219,-0.0030951825467497775,-0.011677279608192342,-0.005938112601882916,-4.1566788213180416e-05,-0.00016626715285272166
0.097,-10.02,-0.09,-0.28,0.0,-0.0,-0.0,-95.0,47.0,-93.0,10.024315437973806,141.0070920202243,0.0,0.0,0.0,0.0,-0.5631825333926981,-0.004361393588601959,-0.01561660284951024,-0.011878204574633126,-8.511294729365515e-05,-0.000330554934838149
0.109,-10.0,-0.1,-0.29,0.0,-0.0,-0.0,-86.0,45.0,-93.0,10.024315437973806,141.0070920202243,0.0,0.0,0.0,0.0,-0.7041540293855744,-0.00562760463045414,-0.019555926090828138,-0.01980162615641223,-0.00014647344417977862,-0.0005502651011078169
0.12,-10.01,-0.08,-0.27,0.0,-0.0,-0.0,-86.0,45.0,-93.0,10.004703893669218,134.42470011125187,0.0,0.0,0.0,0.0,-0.8448441451469278,-0.007034505788067675,-0.02363593944790739,-0.029708377347220226,-0.0002256482788715508,-0.0008253976516617253
0.134,-10.01,-0.08,-0.27,0.0,-0.0,-0.0,-86.0,45.0,-93.0,10.01396025556323,134.42470011125187,0.0,0.0,0.0,0.0,-0.9856749510240428,-0.008160026714158504,-0.027434572573463933,-0.04159449940532253,-0.00032461682223626606,-0.0011579319573671687
0.145,-10.01,-0.08,-0.26,0.0,-0.0,-0.0,-86.0,45.0,-93.0,10.01396025556323,134.42470011125187,0.0,0.0,0.0,0.0,-1.1265057569011576,-0.009285547640249333,-0.03123320569902048,-0.05546197170158644,-0.0004394203325393358,-0.0015439092764895582
0.157,-10.01,-0.08,-0.26,0.0,-0.0,-0.0,-86.0,45.0,-93.0,10.01369562149759,134.42470011125187,0.0,0.0,0.0,0.0,-1.2673365627782724,-0.010411068566340161,-0.03489114870881567,-0.07131079423601194,-0.0005700588097807599,-0.001983329609028894
0.169,-10.0,-0.06,-0.27,0.0,-0.0,-0.0,-86.0,45.0,-93.0,10.01369562149759,134.42470011125187,0.0,0.0,0.0,0.0,-1.4081673686553873,-0.01153658949243099,-0.03854909171861086,-0.08914096700859905,-0.0007165322539605386,-0.002474213584117882
0.182,-10.0,-0.1,-0.27,-0.0,-0.0,-0.0,-86.0,45.0,-93.0,10.003824268748428,134.42470011125187,0.0,0.0,0.0,0.0,-1.5488574844167409,-0.01238073018699911,-0.042347724844167406,-0.10895249001934776,-0.0008788406650786716,-0.0030165612017565217
0.194,-10.0,-0.1,-0.27,-0.0,-0.0,-0.0,-86.0,45.0,-93.0,10.004144141304643,134.42470011125187,0.0,0.0,0.0,0.0,-1.6895476001780945,-0.013787631344612646,-0.04614635796972395,-0.13074338389739076,-0.0010530253014005705,-0.0036123518328121077
0.20500000000000002,-10.0,-0.09,-0.26,0.0,-0.0,-0.0,-86.0,45.0,-93.0,10.004144141304643,134.42470011125187,0.0,0.0,0.0,0.0,-1.830237715939448,-0.015194532502226181,-0.0499449910952805,-0.15451364864272807,-0.0012470036463954125,-0.00426158547728464
