time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
0.002,9.58,0.02,-1.18,0.0,-0.01,0.0,74.0,-48.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.014,9.58,0.02,-1.18,0.0,-0.01,0.0,74.0,-48.0,-60.0,9.652419385832756,106.6770828247567,0.5729577951308232,0.0,-0.008160792683189373,0.0,0.13645052841475575,0.0002848654037886341,-0.01680705882352941,0.0,0.0,0.0
0.025,9.58,0.02,-1.24,-0.0,-0.01,-0.0,72.0,-51.0,-54.0,9.652419385832756,106.6770828247567,0.5729577951308232,0.0,-0.016321585366378746,0.0,0.2729010568295115,0.0005697308075772683,-0.03361411764705882,0.0019435017437020943,4.057414913783078e-06,-0.00023938747991320158
0.088,9.58,0.0,-1.23,0.0,0.0,-0.0,72.0,-51.0,-54.0,9.659937887999073,103.4456378974,0.5729577951308232,0.0,-0.02448237804956812,0.0,0.40935158524426724,0.0008545962113659024,-0.051275772681954136,0.005830505231106283,1.2172244741349235e-05,-0.0007181624397396047
0.1,9.52,0.06,-1.44,0.0,0.01,-0.0,72.0,-51.0,-54.0,9.658638620426794,103.4456378974,0.0,0.0,-0.02448237804956812,0.0,0.545802113659023,0.0008545962113659024,-0.06879499501495513,0.011661010462212566,2.434448948269847e-05,-0.0014484971242205587
0.111,9.52,0.06,-1.44,0.0,0.01,-0.0,72.0,-51.0,-54.0,9.62847859217644,103.4456378974,0.5729577951308232,0.0,-0.016321585366378746,0.0,0.6813980458624128,0.0017091924227318049,-0.08930530408773679,0.019435017437020943,3.6516734224047704e-05,-0.002428362825899172
0.123,9.49,-0.03,-1.49,0.01,0.04,-0.0,72.0,-51.0,-54.0,9.62847859217644,103.4456378974,0.5729577951308232,0.0,-0.008160792683189373,0.0,0.8169939780658027,0.002563788634097707,-0.10981561316051845,0.029140353910790066,6.0861223706746174e-05,-0.0037003624013701667
0.134,9.49,-0.03,-1.49,0.01,0.04,-0.0,72.0,-51.0,-54.0,9.606305221051432,103.4456378974,2.362365508345388,0.008160792683189373,0.02448237804956812,0.0,0.9521626121635095,0.002136490528414756,-0.1310380857427717,0.040777019883519935,9.737795793079388e-05,-0.005264495850633544
0.147,9.42,-0.06,-1.78,0.0,0.09,-0.01,74.0,-50.0,-54.0,9.606305221051432,103.4456378974,2.362365508345388,0.016321585366378746,0.05712554878232561,0.0,1.0873312462612164,0.0017091924227318049,-0.15226055832502494,0.054338929232839873,0.00012780856978416696,-0.00713090671097376
0.159,9.89,-0.05,-1.23,-0.01,0.16,-0.02,74.0,-50.0,-54.0,9.586886877396646,104.36474500519799,5.188353502807639,0.016321585366378746,0.13057268293102997,-0.008160792683189373,1.221502851445663,0.0008545962113659025,-0.17761357926221338,0.06982608195874988,0.00015215305926686543,-0.009299594982390816
