time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gz_normalized_1,gy_normalized_1
8.86,-3.34,3.74,15.27,-0.06,-0.02,0.15,16.072215155354286,9.327077156071521,-0.1395812477708983,0.1562975648692095,0.6381454052280292,-0.00012209698389991744,-4.0698994633305814e-05,0.0003052424597497936,-0.06769355492501013,0.058916194076874616,0.11327052889251539,-0.006872852233676975,0.028037383177570093,-0.0006756756756756756
8.87,-0.49,3.64,9.16,0.06,-0.08,0.13,9.868905714414339,9.397206543186966,-0.02047748844543119,0.15211848559463173,0.38280366155132595,0.00012209698389991744,-0.00016279597853322326,0.0002645434651164878,-0.009931090393190109,0.057340894770006305,0.06794748164082783,0.006872852233676975,0.02429906542056075,-0.0027027027027027024
8.88,-0.49,3.64,9.16,0.06,-0.08,0.13,9.868905714414339,9.397206543186966,-0.02047748844543119,0.15211848559463173,0.38280366155132595,0.00012209698389991744,-0.00016279597853322326,0.0002645434651164878,-0.009931090393190109,0.057340894770006305,0.06794748164082783,0.006872852233676975,0.02429906542056075,-0.0027027027027027024
8.89,0.91,1.495,10.89,0.045,-0.07,0.135,11.029742744053463,9.086395308525564,0.03802962139865793,0.06247723515493803,0.45510173300152185,9.157273792493807e-05,-0.00014244648121657035,0.0002747182137748142,0.01844345358735306,0.023550724637681163,0.08078035754024182,0.005154639175257732,0.02523364485981309,-0.002364864864864865
8.9,2.31,-0.65,12.62,0.03,-0.06,0.14,12.846127821254154,8.894696905194861,0.09653673124274705,-0.027164015284755663,0.5273998044517176,6.104849194995872e-05,-0.00012209698389991744,0.0002848929624331407,0.04681799756789623,-0.010239445494643984,0.0936132334396558,0.0034364261168384875,0.026168224299065426,-0.0020270270270270267
8.91,2.31,-0.65,12.62,0.03,-0.06,0.14,12.846127821254154,8.894696905194861,0.09653673124274705,-0.027164015284755663,0.5273998044517176,6.104849194995872e-05,-0.00012209698389991744,0.0002848929624331407,0.04681799756789623,-0.010239445494643984,0.0936132334396558,0.0034364261168384875,0.026168224299065426,-0.0020270270270270267
8.92,3.29,-2.6,11.69,0.06,0.02,0.13,12.419347808963238,8.283154756205239,0.13749170813360942,-0.10865606113902265,0.48853436719814414,0.00012209698389991744,4.0698994633305814e-05,0.0002645434651164878,0.06668017835427645,-0.040957781978575934,0.08671463541280319,0.006872852233676975,0.02429906542056075,0.0006756756756756756
8.93,-0.73,-1.05,12.32,0.07,-0.08,0.09,12.386193927110943,7.980378637021419,-0.030507278704417898,-0.04388033238306684,0.5148625666279842,0.00014244648121657035,-0.00016279597853322326,0.00018314547584987614,-0.014795297932711794,-0.016540642722117204,0.09138787923744529,0.008018327605956473,0.016822429906542057,-0.0027027027027027024
8.94,-0.73,-1.05,12.32,0.07,-0.08,0.09,12.386193927110943,7.980378637021419,-0.030507278704417898,-0.04388033238306684,0.5148625666279842,0.00014244648121657035,-0.00016279597853322326,0.00018314547584987614,-0.014795297932711794,-0.016540642722117204,0.09138787923744529,0.008018327605956473,0.016822429906542057,-0.0027027027027027024
8.95,1.679999999999786,-0.5000000000000488,8.850000000000309,0.0450000000000022,-0.1799999999999911,0.0850000000000004,9.021912214159745,11.693112694145194,0.070208531812898,-0.020895396372891013,0.3698485158001477,9.157273792494256e-05,-0.00036629095169973423,0.0001729707271915505,0.03404945277664747,-0.007876496534342295,0.06564794896521259,0.005154639175257983,0.015887850467289796,-0.0060810810810807804
