time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
5.538,0.4,6.2,18.27,-0.37,0.13,0.17,90.0,57.0,44.0,19.297484292000345,115.26057435220424,24.49017599257191,6.0810658593683256,-49.25101028241379,5.390218218805996,-10.767686808510636,1.7423182808510609,43.21866272340425,-47.0251085346547,3.9354901347906295,94.87377258041214
5.549,-0.32,3.43,16.72,0.19,0.0,0.16,84.0,48.0,52.0,19.297484292000345,115.26057435220424,24.49017599257191,5.783840711684537,-49.14657982511948,5.526781124498547,-10.76207863829787,1.829244919148933,43.47481589787233,-47.1760760857044,3.959918178500196,95.47971662271458
5.562,-2.28,-3.41,10.09,0.25,-0.36,0.14,84.0,48.0,52.0,17.071195037255006,109.83624174196784,14.231976384034812,5.936469841576212,-49.14657982511948,5.655310918091537,-10.766565174468084,1.877334978723401,43.70923741276595,-47.32696500782127,3.985564970668757,96.0892520415244
5.574,-2.28,-3.41,10.09,0.25,-0.36,0.14,84.0,48.0,52.0,10.891951156702826,109.83624174196784,26.362285642513744,6.137297644065258,-49.43577186070371,5.767774487485403,-10.798531744680847,1.8295253276595715,43.85070350638297,-47.47791683308441,4.011886005936407,96.70207414972688
5.585,3.04,-0.13,6.78,0.23,-0.41,0.13,84.0,48.0,52.0,10.891951156702826,109.83624174196784,26.362285642513744,6.338125446554304,-49.72496389628794,5.88023805687927,-10.830498314893616,1.7817156765957416,43.99216959999999,-47.629316843264725,4.0375367295516105,97.3168796727602
5.596,3.04,-0.13,6.78,0.23,-0.41,0.13,84.0,48.0,52.0,7.431480337052639,109.83624174196784,27.946012786581807,6.522887024844227,-50.05432149236997,5.984668514173574,-10.787876221276594,1.7798930212765929,44.087228085106375,-47.78116503836222,4.062517141514366,97.93366861062438
5.609,-0.02,4.97,7.68,0.18,-0.48,0.1,84.0,48.0,52.0,7.431480337052639,109.83624174196784,27.946012786581807,6.70764860313415,-50.383679088452006,6.089098971467879,-10.745254127659573,1.7780703659574435,44.18228657021276,-47.93241565357014,4.08747199907395,98.55179030890017
5.621,0.81,5.88,8.51,0.09,-0.33,0.12,84.0,48.0,52.0,9.147879535717554,109.83624174196784,29.925734281437503,6.852244620926263,-50.76926846923097,6.169430092463497,-10.745534536170211,1.847751880851061,44.28996343829787,-48.08306868888849,4.112401302230361,99.17124476758757
5.633,0.81,5.88,8.51,0.09,-0.33,0.12,84.0,48.0,52.0,10.375480711754998,109.83624174196784,20.769226138485354,6.924542629822319,-51.03436116851651,6.265827437658239,-10.73417799148936,1.93019198297872,44.40927725957447,-48.23372565565348,4.138307569877289,99.79220890178544
5.644,3.69,10.91,8.82,0.23,0.07,0.19,84.0,48.0,52.0,10.375480711754998,109.83624174196784,20.769226138485354,6.996840638718376,-51.29945386780205,6.362224782852982,-10.72282144680851,2.01263208510638,44.528591080851065,-48.38422339882948,4.165369682836941,100.41484586652948
5.648,3.69,10.91,8.82,0.23,0.07,0.19,84.0,48.0,52.0,14.50643305571704,109.83624174196784,17.55720696084952,7.181602217008298,-51.24322208310512,6.514853912744657,-10.671086076595744,2.165594927659571,44.65225123404255,-48.53456191841647,4.193587641109318,101.03915566181963
5.724,0.29,-21.24,13.14,1.08,0.08,-0.68,90.0,48.0,52.0,14.50643305571704,109.83624174196784,17.55720696084952,7.366363795298221,-51.18699029840818,6.6674830426363325,-10.619350706382978,2.318557770212762,44.77591138723404,-48.68417508609804,4.223950203524861,101.66519922507888
5.803,-2.54,19.4,4.69,8.77,-1.75,0.05,75.0,100.0,60.0,24.977615979112176,114.49017425089367,73.26694304759278,8.233939902050901,-51.12272540161169,6.121231419866126,-10.615284782978724,2.02076393191489,44.9601397787234,-48.833062901874165,4.256457370083572,102.2929765563072
5.879,0.09,18.3,-7.39,2.08,0.97,-0.12,75.0,100.0,60.0,20.119833498317025,138.6542462386205,512.398241586175,15.278979213366648,-52.52852001903501,6.161396980363935,-10.650896663829789,2.292760187234039,45.02589557446808,-48.98189371167399,4.284789340308564,102.92333684797929
5.969,-8.5,4.87,-11.33,-2.75,4.54,-0.35,75.0,100.0,28.0,19.73601276854066,138.6542462386205,131.67687078168674,16.949866530075514,-51.74930814537751,6.064999635169192,-10.649634825531916,2.549333974468081,44.92228462978723,-49.13122381519734,4.316934813776219,103.5546190638889
5.981,-2.11,0.0,-1.59,-3.09,1.6,-0.71,75.0,100.0,28.0,14.977843636518577,128.09761902549164,304.782312747545,14.740760702696004,-48.102275252176426,5.783840711684527,-10.768808442553192,2.6176134468085066,44.76343320851064,-49.2805362272108,4.352677560921229,104.18444861026433
5.993,-2.11,0.0,-1.59,-3.09,1.6,-0.71,75.0,100.0,28.0,2.6420068130116547,128.09761902549164,203.47827954751855,12.258529063931393,-46.81697731624653,5.213489752615635,-10.798391540425532,2.6176134468085066,44.74114073191489,-49.43151950404707,4.389377615323547,104.81205099211708
6.005,-0.26,0.94,-0.49,-3.55,0.13,-0.83,75.0,100.0,28.0,2.6420068130116547,128.09761902549164,203.47827954751855,9.776297425166778,-45.53167938031663,4.643138793546743,-10.827974638297873,2.6176134468085066,44.718848255319145,-49.582917548504064,4.426077669725865,105.4393408239618
6.017,-0.26,0.94,-0.49,-3.55,0.13,-0.83,75.0,100.0,28.0,1.0914669028422255,128.09761902549164,209.0181134444125,6.924542629822319,-45.427248923022326,3.9763904892831095,-10.83161994893617,2.6307926468085068,44.711978246808506,-49.73473036058178,4.462777724128183,106.06631810579852
6.03,0.09,1.81,-0.61,-3.78,0.08,-0.81,75.0,100.0,28.0,1.0914669028422255,128.09761902549164,209.0181134444125,4.072787834477859,-45.32281846572802,3.3096421850194755,-10.835265259574468,2.643971846808507,44.70510823829787,-49.88659428146584,4.499662556522671,106.6931990671925
6.042,12.45,-4.6,-10.75,-3.89,-0.55,-0.76,44.0,43.0,92.0,1.9121453919616052,128.09761902549164,221.54211666947342,1.036271460843477,-45.258553568931525,2.658960104954965,-10.834003421276597,2.6693488170212727,44.6965557787234,-50.03850931115625,4.53673216690933,107.31998370814377
6.054,12.45,-4.6,-10.75,-3.89,-0.55,-0.76,44.0,43.0,92.0,17.079959016344272,110.6752004741803,229.2704774663717,-2.088609145886085,-45.70037473440743,2.048443585388264,-10.659449123404256,2.604854859574464,44.54583620425532,-50.190406649336765,4.574157573217081,107.94664843997242
