time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gz_normalized_1,gy_normalized_1
8.483,0.03,1.09,9.18,-0.02,-0.02,0.03,85.0,36.0,43.0,9.24453351987,2.362365508345388,0.0012651241614906913,0.04596617786749512,0.38712799341615156,-0.000129827560539123,-0.000129827560539123,0.00019474134080868445,0.000476341695776437,0.015681196950079124,0.16051757300227312,-0.001964636542239686,0.011538461538461537,-0.004576659038901602
8.494,0.03,1.09,9.18,-0.02,-0.02,0.03,85.0,36.0,43.0,9.24453351987,2.362365508345388,0.0012651241614906913,0.04596617786749512,0.38712799341615156,-0.000129827560539123,-0.000129827560539123,0.00019474134080868445,0.000476341695776437,0.015681196950079124,0.16051757300227312,-0.001964636542239686,0.011538461538461537,-0.004576659038901602
8.506,-0.46,-0.11,10.67,-0.0,-0.03,0.04,85.0,36.0,43.0,10.680477517414658,2.864788975654116,-0.0193985704761906,-0.004638788592132535,0.4499624934368559,-0.0,-0.00019474134080868445,0.000259655121078246,-0.007303906001905367,-0.0015825061142281686,0.18657107885994056,-0.0,0.015384615384615384,-0.006864988558352402
8.518,-0.46,-0.11,10.67,-0.0,-0.03,0.04,85.0,36.0,43.0,10.680477517414658,2.864788975654116,-0.0193985704761906,-0.004638788592132535,0.4499624934368559,-0.0,-0.00019474134080868445,0.000259655121078246,-0.007303906001905367,-0.0015825061142281686,0.18657107885994056,-0.0,0.015384615384615384,-0.006864988558352402
8.532,-0.05,-2.16,10.27,-0.01,-0.07,0.05,85.0,36.0,43.0,10.494808240268137,4.961960058796128,-0.002108540269151152,-0.09108893962732978,0.43309417128364663,-6.49137802695615e-05,-0.0004543964618869305,0.0003245689013478075,-0.0007939028262940617,-0.03107466551575313,0.17957684909949292,-0.000982318271119843,0.019230769230769232,-0.016018306636155607
8.544,0.4,-2.33,9.77,-0.01,-0.03,0.07,85.0,36.0,43.0,10.051955033723539,4.400972331777296,0.016868322153209218,-0.0982579765424437,0.41200876859213514,-6.49137802695615e-05,-0.00019474134080868445,0.0004543964618869305,0.0063512226103524935,-0.03352035678319666,0.17083406189893338,-0.000982318271119843,0.026923076923076925,-0.006864988558352402
8.556,0.4,-2.33,9.77,-0.01,-0.03,0.07,85.0,36.0,43.0,10.051955033723539,4.400972331777296,0.016868322153209218,-0.0982579765424437,0.41200876859213514,-6.49137802695615e-05,-0.00019474134080868445,0.0004543964618869305,0.0063512226103524935,-0.03352035678319666,0.17083406189893338,-0.000982318271119843,0.026923076923076925,-0.006864988558352402
8.567,0.22,-2.52,10.22,0.0,0.02,0.07,85.0,36.0,43.0,10.52839968846168,4.171195710472268,0.00927757718426507,-0.10627042956521808,0.43098563101449555,0.0,0.000129827560539123,0.0004543964618869305,0.0034931724356938713,-0.036253776435045314,0.178702570379437,0.0,0.026923076923076925,0.004576659038901602
8.579,0.22,-2.52,10.22,0.0,0.02,0.07,85.0,36.0,43.0,10.52839968846168,4.171195710472268,0.00927757718426507,-0.10627042956521808,0.43098563101449555,0.0,0.000129827560539123,0.0004543964618869305,0.0034931724356938713,-0.036253776435045314,0.178702570379437,0.0,0.026923076923076925,0.004576659038901602
8.592,-0.47,-3.6,9.98,0.0,-0.0,0.07,81.0,22.0,52.0,10.6198540479613,4.010704565915763,-0.01982027853002083,-0.15181489937888296,0.42086463772257,0.0,-0.0,0.0004543964618869305,-0.007462686567164179,-0.05179110919292188,0.1745060325231684,0.0,0.026923076923076925,-0.0
8.604,0.33,-3.29,8.14,0.01,-0.06,0.05,81.0,22.0,52.0,8.78593193690914,4.511474190336548,0.013916365776397606,-0.1387419497101458,0.3432703558178076,6.49137802695615e-05,-0.0003894826816173689,0.0003245689013478075,0.005239758653540807,-0.0473313192346425,0.1423325756251093,0.000982318271119843,0.019230769230769232,-0.013729977116704805
8.614,0.33,-3.29,8.14,0.01,-0.06,0.05,81.0,22.0,52.0,8.78593193690914,4.511474190336548,0.013916365776397606,-0.1387419497101458,0.3432703558178076,6.49137802695615e-05,-0.0003894826816173689,0.0003245689013478075,0.005239758653540807,-0.0473313192346425,0.1423325756251093,0.000982318271119843,0.019230769230769232,-0.013729977116704805
