time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gy_normalized_1,gz_normalized_1
34.56999999999999,3.88,-0.65,11.57,-0.09,-0.13,0.15,12.220548269206255,12.487325639445695,0.18178625098025636,-0.030453882251847073,0.5420791040828778,-0.00019804309352216502,-0.0002860622461986828,0.0003300718225369417,0.038869965938689646,-0.01878612716763006,0.117940876656473,-0.01072705601907032,-0.005637467476149177,0.024
34.58,3.88,-0.65,11.57,-0.09,-0.13,0.15,12.220548269206255,12.487325639445695,0.18178625098025636,-0.030453882251847073,0.5420791040828778,-0.00019804309352216502,-0.0002860622461986828,0.0003300718225369417,0.038869965938689646,-0.01878612716763006,0.117940876656473,-0.01072705601907032,-0.005637467476149177,0.024
34.59,2.36,-0.13,3.57,0.18,0.07,0.12,4.281518422242277,13.02770464416534,0.11057101863747552,-0.0060907764503694145,0.16726209175245238,0.00039608618704433003,0.00015403351718390614,0.00026405745802955335,0.02364255660188339,-0.0037572254335260114,0.0363914373088685,0.02145411203814064,0.0030355594102341723,0.0192
34.6,0.24,-4.35,10.69,0.0,0.31,0.15,11.543664929302132,19.731721493863446,0.011244510369912765,-0.20380675045466884,0.500849232726531,0.0,0.0006821484332430129,0.0003300718225369417,0.00240432779002204,-0.12572254335260113,0.1089704383282365,0.0,0.013443191673894189,0.024
34.61,0.24,-4.35,10.69,0.0,0.31,0.15,11.543664929302132,19.731721493863446,0.011244510369912765,-0.20380675045466884,0.500849232726531,0.0,0.0006821484332430129,0.0003300718225369417,0.00240432779002204,-0.12572254335260113,0.1089704383282365,0.0,0.013443191673894189,0.024
34.62,0.3724999999999764,-3.363750000000175,10.273750000000074,-0.0087499999999984,0.231250000000014,0.1425000000000013,10.81681604609243,15.571320600961277,0.017452417136634334,-0.1575988406533168,0.4813470350537171,-1.9254189647984744e-05,0.0005088607264111493,0.0003135682314100975,0.003731717090763138,-0.0972182080924906,0.10472731906218222,-0.0010429082240760905,0.010028187337381353,0.022800000000000206
34.63,0.5050000000000471,-2.3774999999996496,9.857499999999852,-0.0175000000000031,0.152499999999972,0.1349999999999973,10.152725619260844,11.712398146882032,0.023660323903360314,-0.11139093085193191,0.4618448373808893,-3.850837929598335e-05,0.00033557301957916244,0.00029706464028324156,0.0050591063915051806,-0.06871387283235982,0.1004841997961249,-0.0020858164481529318,0.006613183000866088,0.021599999999999567
34.64,0.6375000000000235,-1.3912499999998245,9.441249999999926,-0.0262500000000015,0.073749999999986,0.1274999999999986,9.564475122817672,8.572255735279743,0.02986823067008188,-0.06518302105057984,0.44234263970807525,-5.77625689439681e-05,0.00016228531274729887,0.00028056104915639735,0.006386495692246278,-0.04020953757224926,0.0962410805300706,-0.0031287246722290227,0.0031981786643532524,0.020399999999999772
34.65,0.77,-0.4049999999999998,9.025,-0.035,-0.005,0.12,9.066837927304094,7.167699727087051,0.036076137436803456,-0.01897511124922778,0.4228404420352613,-7.701675859195307e-05,-1.1002394084564724e-05,0.00026405745802955335,0.007713884992987378,-0.011705202312138722,0.09199796126401631,-0.004171632896305125,-0.00021682567215958371,0.0192
34.66,0.9024999999999764,0.5812499999998249,8.608750000000075,-0.0437499999999984,-0.083749999999986,0.1125000000000013,8.675421279396238,8.417679211696509,0.04228404420352502,0.027232798552124272,0.40333824436244736,-9.627094823993782e-05,-0.00018429010091642833,0.00024755386690270914,0.009041274293728476,0.016799132947971817,0.08775484199796203,-0.005214541120381216,-0.00363183000867242,0.018000000000000207
34.67,1.0350000000000472,1.5675000000003507,8.192499999999853,-0.0525000000000031,-0.1625000000000279,0.1049999999999973,8.405078078161964,11.485981899303427,0.04849195097025101,0.07344070835350917,0.3838360466896195,-0.00011552513788793642,-0.0003575778077484149,0.00023105027577585328,0.01036866359447052,0.04530346820810262,0.08351172273190473,-0.006257449344458057,-0.007046834345187681,0.01679999999999957
34.68,1.1675000000000235,2.553750000000176,7.776249999999926,-0.0612500000000015,-0.241250000000014,0.0974999999999986,8.267693715601698,15.316242686047133,0.05469985773697257,0.11964861815486125,0.3643338490168055,-0.00013477932753592117,-0.0005308655145802787,0.00021454668464900904,0.011696052895211617,0.07380780346821317,0.07926860346585042,-0.007300357568534147,-0.010461838681700522,0.015599999999999776
34.69,1.3,3.54,7.36,-0.07,-0.32,0.09,8.269897218224662,19.46370603948167,0.060907764503694145,0.16585652795621328,0.34483165134399146,-0.00015403351718390614,-0.0007041532214121423,0.00019804309352216502,0.013023442195952716,0.10231213872832369,0.07502548419979613,-0.00834326579261025,-0.013876843018213358,0.0144
34.7,1.3987499999999735,3.267500000000073,7.694999999999911,-0.0437500000000069,-0.331249999999997,0.0987499999999976,8.476206864659392,19.96264120718524,0.06553441199964659,0.15308932347371157,0.3605271137353238,-9.627094823995652e-05,-0.0007289086081024063,0.00021729728317014803,0.014012722901221936,0.0944364161849732,0.07844036697247615,-0.005214541120382229,-0.01436470078057229,0.015799999999999616
34.71,1.4975000000000176,2.994999999999952,8.03000000000006,-0.0174999999999953,-0.342500000000002,0.1075000000000015,8.70019719604106,20.592134244004054,0.07016105949560235,0.1403221189912008,0.3762225761266674,-3.8508379295966195e-05,-0.000753663994792688,0.00023655147281814484,0.015002003606491862,0.08656069364161711,0.08185524974515862,-0.0020858164481520024,-0.014852558542931571,0.01720000000000024
34.72,1.596249999999991,2.722500000000024,8.36499999999997,0.0087499999999976,-0.353749999999999,0.1162499999999992,8.94053943073345,21.340634926359193,0.07478770699155479,0.12755491450869905,0.3919180385179998,1.9254189647982986e-05,-0.000778419381482952,0.0002558056624661281,0.01599128431176108,0.0786849710982666,0.08527013251783865,0.0010429082240759951,-0.015340416305290504,0.018599999999999874
34.73,1.6949999999999648,2.450000000000097,8.69999999999988,0.0349999999999906,-0.364999999999996,0.1249999999999968,9.195951554896224,22.196106932928533,0.07941435448750725,0.11478771002619735,0.4076135009093321,7.701675859193239e-05,-0.000803174768173216,0.00027505985211411107,0.016980565017030304,0.07080924855491609,0.08868501529051866,0.004171632896304005,-0.015828274067649438,0.019999999999999487
34.739999999999995,1.7937499999999384,2.17750000000017,9.03499999999979,0.0612499999999837,-0.376249999999993,0.1337499999999945,9.46521369608192,23.146692733015954,0.0840410019834597,0.10202050554369566,0.4233089633006645,0.000134779327535882,-0.0008279301548634801,0.00029431404176209427,0.017969845722299524,0.0629335260115656,0.09209989806319868,0.007300357568532026,-0.01631613183000837,0.02139999999999912
34.75,1.8924999999999823,1.9050000000000489,9.36999999999994,0.0874999999999953,-0.3874999999999979,0.1424999999999984,9.747178117280868,24.181177877765684,0.08866764947941545,0.08925330106118486,0.4390044256920081,0.00019254189647987234,-0.0008526855415537615,0.00031356823141009114,0.01895912642756945,0.0550578034682095,0.09551478083588115,0.010429082240762253,-0.016803989592367646,0.022799999999999744
34.76,1.991249999999956,1.6325000000001213,9.70499999999985,0.1137499999999883,-0.398749999999995,0.1512499999999961,10.040774761565828,25.28926847926612,0.09329429697536791,0.07648609657868313,0.45469988808334044,0.00025030446542382174,-0.0008774409282440258,0.00033282242105807435,0.019948407132838672,0.047182080924858996,0.09892966360856117,0.013557806912990262,-0.017291847354726584,0.024199999999999378
34.77,2.09,1.36,10.04,0.14,-0.41,0.16,10.345013291436603,26.461719416120808,0.09792094447132366,0.06371889209617233,0.47039535047468395,0.0003080670343678123,-0.0009021963149343073,0.00035207661070607116,0.020937687838108596,0.03930635838150289,0.10234454638124363,0.0166865315852205,-0.01777970511708586,0.0256
34.78,1.842500000000044,1.7099999999999378,9.68875000000006,0.1449999999999991,-0.3762500000000059,0.1837499999999957,10.009534595199774,25.38876297881916,0.08632504315235319,0.08011713638562554,0.45393854102705405,0.00031906942845237504,-0.0008279301548635085,0.00040433798260774414,0.018458224804648808,0.049421965317917274,0.09876401630988849,0.01728247914183541,-0.01631613183000893,0.029399999999999312
34.790000000000006,1.594999999999912,2.0600000000001244,9.337499999999874,0.1500000000000018,-0.342499999999988,0.2075000000000084,9.69414933091078,24.501064796841153,0.07472914183337447,0.0965153806750904,0.4374817315794126,0.00033007182253694565,-0.0007536639947926571,0.00045659935450945453,0.015978761771187257,0.05953757225433885,0.09518348623853083,0.017878426698450748,-0.014852558542930962,0.033200000000001346
34.800000000000004,1.347499999999956,2.4100000000000623,8.986249999999938,0.1550000000000009,-0.308749999999994,0.2312500000000042,9.400880028619612,23.819346469007467,0.06313324051440398,0.1129136249645436,0.4210249221317829,0.0003410742166215084,-0.0006793978347218585,0.0005088607264111277,0.01349929873772747,0.06965317919075324,0.09160295616717572,0.018474374255065658,-0.013388985255854033,0.03700000000000067
34.81,1.1,2.76,8.635,0.16,-0.275,0.255,9.131857697095374,23.36164710994181,0.05153733919543351,0.1293118692539968,0.404568112684153,0.00035207661070607116,-0.0006051316746510598,0.0005611220983128009,0.011019835704267683,0.07976878612716762,0.08802242609582059,0.01907032181168057,-0.011925411968777104,0.0408
34.82,0.852500000000044,3.109999999999938,8.283750000000062,0.1649999999999991,-0.241250000000006,0.2787499999999958,8.889284015740566,23.141262813759976,0.03994143787646303,0.14571011354345,0.38811130323652315,0.0003630790047906339,-0.000530865514580261,0.000613383470214474,0.008540372670807895,0.08988439306358202,0.08444189602446546,0.01966626936829548,-0.010461838681700173,0.04459999999999933
34.830000000000005,0.604999999999912,3.4600000000001243,7.932499999999875,0.1700000000000017,-0.207499999999988,0.3025000000000084,8.675377873614426,23.16496779598014,0.02834553655748431,0.16210835783291486,0.37165449378888166,0.00037408139887520436,-0.00045659935450940964,0.0006656448421161843,0.006060909637346345,0.10000000000000359,0.0808613659531078,0.02026221692491081,-0.008998265394622203,0.04840000000000134
