time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gz_normalized_1,gy_normalized_1
6.363,-1.86,-1.69,5.7,-0.05,-0.04,-0.05,6.2294221240818155,4.654731131878351,-0.060666660199138425,-0.05512185792287308,0.18591395867477903,-8.208630749107449e-05,-6.566904599285958e-05,-8.208630749107449e-05,-0.02532334921715453,-0.017927230295958416,0.078039430449069,-0.0036049026676279743,-0.0035816618911174783,-0.0014925373134328358
6.373,-1.8270886075949373,-1.641898734177216,6.329113924050621,-0.0411392405063292,-0.015949367088608,-0.0436708860759494,6.789091787338525,3.5569401326929526,-0.05959320629606399,-0.05355296375684122,0.2064334428989326,-6.753936692303611e-05,-2.618449302246999e-05,-7.16956356567613e-05,-0.024875270355274842,-0.01741698031375004,0.08665270980354081,-0.002966059156909099,-0.0031282869681912174,-0.0005951256376346268
6.383,-1.7941772151898747,-1.593797468354432,6.958227848101243,-0.0322784810126585,0.0081012658227839,-0.0373417721518989,7.360448154544066,2.865899606277178,-0.05851975239298956,-0.051984069590809354,0.22695292712308618,-5.299242635499789e-05,1.3300059947919433e-05,-6.130496382244829e-05,-0.024427191493395162,-0.016906730331541657,0.09526598915801264,-0.0023272156461902308,-0.002674912045264964,0.00030228603816357833
6.393000000000001,-1.761265822784809,-1.545696202531644,7.58734177215192,-0.023417721518987,0.032151898734178,-0.0310126582278478,7.940969035103463,2.889843291109643,-0.05744629848991503,-0.05041517542477736,0.24747241134724152,-3.844548578695837e-05,5.278461291831247e-05,-5.091429198813431e-05,-0.023979112631515438,-0.016396480349333237,0.1038792685124852,-0.0016883721354713052,-0.0022215371223386674,0.0011996977139618658
6.4030000000000005,-1.7283544303797465,-1.49759493670886,8.216455696202543,-0.0145569620253163,0.05620253164557,-0.0246835443037973,8.528783256662612,3.6145904594154175,-0.0563728445868406,-0.04884628125874549,0.26799189557139513,-2.3898545218920163e-05,9.226916588870206e-05,-4.0523620153821306e-05,-0.023531033769635758,-0.015886230367124853,0.11249254786695703,-0.001049528624752437,-0.001768162199412414,0.0020971093897600747
6.413,-1.6954430379746837,-1.449493670886076,8.845569620253164,-0.0056962025316455,0.0802531645569619,-0.0183544303797468,9.122481071709675,4.72816987635132,-0.055299390683766166,-0.047277387092713626,0.2885113797955487,-9.351604650881789e-06,0.00013175371885909147,-3.0132948319508297e-05,-0.023082954907756074,-0.015375980384916475,0.12110582722142885,-0.00041068511403356166,-0.0013147872764861606,0.0029945210655582797
6.423,-1.662531645569621,-1.401392405063292,9.474683544303783,0.0031645569620251,0.1043037974683539,-0.0120253164556963,9.720984539139563,6.018485924066686,-0.054225936780691736,-0.04570849292668176,0.3090308640197022,5.195335917156257e-06,0.0001712382718294811,-1.9742276485195285e-05,-0.02263487604587639,-0.014865730402708095,0.12971910657590063,0.00022815839668529923,-0.0008614123535599068,0.0038919327413564886
6.433000000000001,-1.6296202531645554,-1.3532911392405038,10.103797468354465,0.0120253164556966,0.128354430379748,-0.0056962025316452,10.323457868301544,7.393579072746636,-0.05315248287761721,-0.04413959876064976,0.3295503482438577,1.974227648519578e-05,0.00021072282479987412,-9.351604650881296e-06,-0.02218679718399667,-0.01435548042049967,0.13833238593037328,0.000867001907404225,-0.0004080374306336103,0.004789344417154776
6.442,-1.6,-1.31,10.67,0.02,0.15,-0.0,10.868532559642079,8.670424754028428,-0.052186374364850255,-0.04272759401122114,0.34801788404559514,3.283452299642979e-05,0.0002462589224732234,-0.0,-0.02178352620830497,-0.013896255436512147,0.14608433734939757,0.0014419610670511898,-0.0,0.005597014925373134
6.452,-1.8157303370786484,-1.0650561797752849,10.607078651685397,0.0233707865168538,0.1915730337078645,-0.0247191011235951,10.81394187362339,11.148035397864733,-0.059222739447751305,-0.034738387823343916,0.34596561089641575,3.836843136661437e-05,0.0003145104590388348,-4.058199471468784e-05,-0.02472063086560447,-0.011297933380452794,0.14522287310631704,0.0016849882131834031,-0.0017707092495411962,0.007148247526412854
