time,ax,ay,az,gx,gy,gz,mx,my,mz
2826.00,0.31,-0.68,9.60,0.01,0.05,-0.03,10.16,-1.90,-129.58
2877.00,0.11,-1.02,9.47,0.02,0.37,0.00,10.33,-1.73,-130.74
2929.00,0.05,0.43,9.19,0.00,0.25,0.03,10.33,-1.73,-130.74
2980.00,-0.28,-2.78,9.56,0.04,0.17,-0.00,11.88,-2.59,-129.58
3031.00,0.32,-0.51,9.82,0.07,-0.20,-0.07,11.88,-2.59,-129.58
3083.00,0.20,1.30,9.85,0.01,0.28,-0.02,11.88,-2.59,-129.58
3135.00,-0.34,-2.04,9.43,-0.03,0.24,-0.00,11.71,-1.38,-129.74
3185.00,-0.22,-1.56,9.56,0.01,-0.20,-0.04,11.71,-1.38,-129.74
3238.00,0.17,-0.95,9.64,0.01,-0.96,-0.13,11.19,-0.86,-129.58
3289.00,0.46,0.21,9.66,0.01,-0.02,-0.04,11.19,-0.86,-129.58
3340.00,0.20,0.44,9.79,-0.02,-0.29,-0.06,7.23,-1.38,-130.74
3393.00,0.72,-0.78,9.64,-0.03,-0.16,-0.03,7.23,-1.38,-130.74
3444.00,0.93,0.12,9.67,-0.04,-0.25,-0.04,7.23,-1.38,-130.74
3494.00,0.73,-3.35,9.57,0.15,0.13,0.03,5.68,-1.56,-130.58
3547.00,1.01,-0.09,9.82,0.11,0.11,0.00,5.68,-1.56,-130.58
3599.00,0.94,-1.10,9.53,0.10,0.12,-0.03,7.75,-2.59,-129.91
3650.00,0.71,-1.39,9.51,0.01,0.08,-0.02,7.75,-2.59,-129.91
3703.00,0.74,-0.80,9.48,-0.01,-0.05,-0.05,7.75,-2.59,-129.91
3754.00,0.88,-2.08,9.87,-0.05,0.08,-0.04,6.89,-4.84,-129.41
3805.00,0.89,-0.30,9.63,0.06,0.07,-0.04,6.89,-4.84,-129.41
3858.00,0.59,-0.73,9.57,-0.04,0.09,-0.02,6.89,-1.73,-129.74
3909.00,0.60,-0.61,9.46,-0.05,-0.25,-0.05,6.89,-1.73,-129.74
3959.00,1.18,-1.49,9.53,-0.03,-0.61,-0.11,6.89,-1.73,-129.74
4011.00,1.51,-0.16,9.72,0.01,-0.26,-0.06,4.48,-4.15,-129.74
4063.00,1.50,-0.67,9.62,0.04,0.06,-0.02,4.48,-4.15,-129.74
4114.00,1.28,-1.24,9.47,0.04,0.21,-0.01,4.48,-3.11,-129.74
4165.00,1.27,-0.56,9.65,0.02,0.21,-0.02,4.48,-3.11,-129.74
4216.00,0.94,-1.74,9.34,-0.04,0.21,-0.03,6.54,-3.46,-130.41
4267.00,1.25,1.20,9.89,-0.02,0.31,-0.03,6.54,-3.46,-130.41
4318.00,0.24,-2.06,9.51,-0.01,0.67,0.02,6.54,-3.46,-130.41
4369.00,0.57,-0.53,9.85,0.04,0.49,0.01,9.30,-2.42,-129.74
4422.00,-0.44,-1.52,9.39,0.02,0.37,0.01,9.30,-2.42,-129.74
4473.00,0.04,-0.79,9.57,0.01,-0.21,-0.04,10.16,-4.67,-129.58
4524.00,0.11,-0.95,9.61,-0.00,-0.12,-0.03,10.16,-4.67,-129.58
4576.00,0.16,-0.38,9.67,-0.03,-0.02,-0.03,10.16,-4.67,-129.58
4627.00,0.04,-0.70,9.57,-0.07,-0.03,-0.05,9.13,-3.28,-129.91
4679.00,0.29,-0.43,9.77,-0.07,-0.28,-0.08,9.13,-3.28,-129.91
4731.00,0.40,-1.13,9.64,0.02,0.17,-0.02,10.85,-1.90,-128.91
4783.00,0.28,-0.68,9.65,0.06,0.54,0.02,10.85,-1.90,-128.91
