time,ax,ay,az,gx,gy,gz,mx,my,mz
6781.00,-0.68,-0.48,9.59,-0.01,-0.11,-0.05,16.01,6.74,-115.61
6833.00,-0.54,-0.76,9.64,-0.02,-0.12,-0.05,18.60,6.91,-118.10
6884.00,-0.60,-0.43,9.63,-0.01,-0.02,-0.04,18.60,6.91,-118.10
6935.00,-0.53,-1.17,9.59,0.01,-0.09,-0.05,18.60,6.91,-118.10
6988.00,-0.45,-0.52,9.57,-0.01,-0.26,-0.06,16.70,8.47,-118.60
7038.00,-0.18,-0.60,9.68,-0.03,-0.17,-0.05,16.70,8.47,-118.60
7090.00,-0.20,-1.00,9.65,-0.01,-0.02,-0.03,15.50,6.57,-116.77
7143.00,-0.57,2.61,9.95,-0.01,0.04,-0.02,15.50,6.57,-116.77
7193.00,-0.27,9.12,10.24,0.23,-0.75,-0.06,15.50,6.57,-116.77
7245.00,-4.57,-13.03,9.85,0.52,-0.47,1.16,14.46,7.26,-116.77
7295.00,0.28,-8.43,15.13,2.09,-1.22,4.19,14.46,7.26,-116.77
7346.00,8.38,19.30,1.97,9.05,2.33,6.24,6.03,-9.16,-115.61
7398.00,3.83,4.83,-1.03,1.94,5.42,6.84,6.03,-9.16,-115.61
7449.00,-0.09,6.95,-4.73,0.29,5.58,7.08,6.03,-9.16,-115.61
7499.00,0.92,7.26,-0.24,-2.05,5.38,6.71,-5.17,-22.12,-106.12
7552.00,1.28,7.73,1.00,-3.38,5.10,6.09,-5.17,-22.12,-106.12
7602.00,28.63,-12.87,-103.58,-3.70,1.19,4.84,-0.86,-2.25,-116.60
7654.00,-0.74,2.37,-4.98,0.24,-0.82,5.09,-0.86,-2.25,-116.60
7706.00,-22.03,-34.86,49.83,6.67,0.94,-0.34,1.72,16.93,-112.78
7757.00,6.46,-12.21,34.48,-0.23,0.18,-0.17,1.72,16.93,-112.78
7808.00,-1.48,4.07,9.72,0.19,1.47,-0.08,1.72,16.93,-112.78
7861.00,0.06,-0.87,10.01,-0.04,-1.53,-0.08,1.38,21.42,-111.11
7911.00,1.65,-2.50,9.83,0.01,-1.03,-0.08,1.38,21.42,-111.11
7963.00,-0.43,-2.82,9.18,0.06,1.56,-0.08,-1.21,21.94,-112.28
8015.00,-0.80,-1.47,9.13,0.01,0.46,-0.08,-1.21,21.94,-112.28
8065.00,-0.10,-1.73,9.75,-0.01,0.37,-0.08,-1.21,21.94,-112.28
8117.00,-0.68,-0.64,9.60,0.01,0.74,-0.08,1.72,21.42,-111.11
8169.00,-1.10,0.92,9.82,0.00,0.41,-0.08,1.72,21.42,-111.11
8220.00,-1.31,-1.39,9.26,0.01,0.13,-0.08,3.27,21.60,-110.95
8271.00,-0.98,-1.37,9.63,-0.02,0.00,-0.08,3.27,21.60,-110.95
8323.00,-1.10,-0.99,9.57,0.00,-0.00,-0.08,2.76,23.15,-111.45
8374.00,-1.57,-0.34,9.00,-0.01,0.08,-0.08,2.76,23.15,-111.45
8425.00,-0.78,-1.82,10.05,-0.03,0.17,-0.08,2.76,23.15,-111.45
8478.00,-1.87,-2.59,8.18,-0.03,0.21,-0.08,3.44,22.81,-111.11
8528.00,-1.10,-0.52,10.04,0.01,-0.03,-0.08,3.44,22.81,-111.11
8580.00,-0.91,-0.86,10.42,-0.00,0.17,-0.08,4.48,21.42,-110.78
8632.00,-2.13,-1.24,8.06,-0.03,0.16,-0.08,4.48,21.42,-110.78
8682.00,-1.56,-0.98,9.45,0.00,0.16,-0.08,4.48,21.42,-110.78
8734.00,-1.94,-1.54,8.18,0.07,-0.12,-0.08,3.10,21.42,-110.78
8786.00,-1.87,-0.15,9.81,-0.01,0.16,-0.08,3.10,21.42,-110.78
8836.00,-1.44,-1.37,9.36,-0.00,-0.13,-0.08,4.82,22.46,-112.11
8888.00,-1.50,-0.61,9.52,-0.00,-0.06,-0.08,4.82,22.46,-112.11
8940.00,-1.47,-0.85,9.54,0.00,0.02,-0.08,4.82,22.46,-112.11
8991.00,-1.47,-1.15,9.40,0.01,0.03,-0.08,4.30,22.29,-110.95
9042.00,-1.45,-0.82,9.56,-0.01,0.00,-0.03,4.30,22.29,-110.95
9095.00,-1.51,-0.70,9.51,0.01,0.02,-0.03,3.79,21.42,-111.78
9145.00,-1.46,-1.13,9.46,0.01,0.00,-0.04,3.79,21.42,-111.78
9197.00,-1.51,-0.97,9.47,0.01,0.00,-0.03,3.79,21.42,-111.78
9249.00,-1.45,-0.92,9.49,0.00,-0.15,-0.05,2.24,21.25,-111.95
9300.00,-1.38,-0.94,9.45,0.01,-0.22,-0.06,2.24,21.25,-111.95
9351.00,-1.16,-1.46,9.51,-0.01,-0.41,-0.08,2.93,21.94,-111.28
9404.00,-0.80,-1.27,9.33,-0.01,-0.81,-0.12,2.93,21.94,-111.28
9454.00,-0.28,-0.64,10.01,-0.02,-0.72,-0.10,2.93,21.94,-111.28
9506.00,-0.24,-0.49,9.52,0.01,-0.29,-0.07,-0.52,22.98,-110.62
9557.00,-0.05,-1.47,9.72,-0.01,-0.08,-0.04,-0.52,22.98,-110.62
9608.00,-0.22,-0.91,9.57,0.00,0.13,-0.02,0.69,22.81,-111.11
9660.00,-0.28,-0.77,9.60,-0.01,0.03,-0.03,0.69,22.81,-111.11
9711.00,-0.20,-1.25,9.61,0.01,-0.12,-0.05,0.34,22.46,-111.11
9762.00,-0.10,-0.85,9.63,0.01,-0.06,-0.04,0.34,22.46,-111.11
9815.00,-0.16,-0.91,9.61,0.01,0.00,-0.03,0.34,22.46,-111.11
9866.00,-0.10,-0.94,9.61,0.01,-0.06,-0.04,-0.34,22.12,-111.78
9918.00,-0.06,-1.02,9.60,0.01,-0.00,-0.03,-0.34,22.12,-111.78
9970.00,-0.09,-0.94,9.62,0.01,-0.01,-0.03,0.52,22.29,-109.62
10021.00,-0.04,-1.16,9.61,0.01,0.04,-0.03,0.52,22.29,-109.62
10073.00,-0.10,-0.67,9.68,0.02,0.09,-0.03,0.52,22.29,-109.62
10125.00,-0.22,-1.59,9.48,0.02,0.14,-0.02,-0.52,21.60,-110.95
10176.00,-0.22,-0.98,9.58,0.01,-0.01,-0.03,-0.52,21.60,-110.95
10228.00,0.05,-1.23,9.62,0.01,-0.10,-0.04,0.86,21.60,-110.62
10280.00,-0.11,-0.77,9.65,0.02,0.05,-0.03,0.86,21.60,-110.62
10331.00,-0.13,-1.03,9.61,0.02,-0.03,-0.04,0.86,21.60,-110.62
10383.00,-0.14,-1.05,9.80,0.02,-0.10,-0.05,0.17,21.60,-109.28
10436.00,-0.12,-1.23,9.75,-0.01,-0.25,-0.11,0.17,21.60,-109.28
10486.00,0.30,-0.72,9.62,0.04,0.12,-0.02,-0.86,21.60,-109.95
10538.00,-0.06,-0.67,9.59,0.05,0.11,-0.03,-0.86,21.60,-109.95
10591.00,-0.18,-0.78,9.73,0.01,0.01,-0.04,-0.52,21.60,-109.95
10641.00,-0.04,-0.89,9.70,-0.03,-0.07,-0.05,-0.52,21.60,-109.95
10693.00,0.06,-0.91,9.68,-0.02,-0.06,-0.04,-0.52,21.60,-109.95
10746.00,0.11,-0.90,9.62,0.00,0.01,-0.03,-0.52,20.91,-110.95
10796.00,0.09,-0.88,9.58,0.01,0.04,-0.03,-0.52,20.91,-110.95
10848.00,0.00,-0.87,9.62,0.01,0.03,-0.03,-0.17,20.56,-110.95
10900.00,-0.03,-0.85,9.66,0.00,0.01,-0.03,-0.17,20.56,-110.95
10951.00,0.01,-0.86,9.66,-0.00,-0.01,-0.04,-0.17,20.56,-110.95
11003.00,0.06,-0.87,9.63,-0.00,-0.00,-0.03,-1.38,20.39,-109.45
11056.00,0.06,-0.88,9.61,0.00,0.01,-0.03,-1.38,20.39,-109.45
11106.00,0.04,-0.87,9.61,0.00,0.02,-0.03,-0.86,21.60,-108.95
11158.00,0.02,-0.86,9.62,0.00,0.01,-0.03,-0.86,21.60,-108.95
11210.00,0.03,-0.87,9.62,0.00,0.01,-0.04,-0.34,20.73,-111.11
11261.00,0.02,-0.87,9.61,0.00,0.00,-0.03,-0.34,20.73,-111.11
11313.00,0.02,-0.84,9.65,0.00,0.00,-0.03,-0.34,20.73,-111.11
11366.00,0.02,-0.91,9.63,0.00,0.01,-0.03,-0.86,21.25,-109.95
11417.00,0.04,-0.87,9.63,0.00,0.01,-0.03,-0.86,21.25,-109.95
11469.00,0.04,-0.87,9.62,0.00,0.01,-0.03,-0.69,21.08,-110.45
11521.00,0.03,-0.86,9.63,0.00,0.01,-0.03,-0.69,21.08,-110.45
11572.00,0.03,-0.88,9.62,0.00,0.01,-0.03,-0.69,21.08,-110.45
11624.00,0.03,-0.85,9.63,0.00,0.01,-0.03,-1.03,21.42,-110.45
11677.00,0.04,-0.87,9.62,0.00,0.01,-0.03,-1.03,21.42,-110.45
11728.00,0.04,-0.86,9.62,0.00,0.01,-0.03,-1.38,21.77,-110.45
11780.00,0.05,-0.85,9.61,0.00,0.01,-0.03,-1.38,21.77,-110.45
11831.00,0.04,-0.86,9.62,-0.00,0.01,-0.03,-1.38,21.77,-110.45
11882.00,0.05,-0.86,9.62,0.00,0.01,-0.03,-1.21,21.94,-110.95
11934.00,0.04,-0.85,9.63,0.00,0.01,-0.03,-1.21,21.94,-110.95
11985.00,0.03,-0.89,9.61,0.00,0.01,-0.03,-1.38,22.12,-110.78
12036.00,0.04,-0.87,9.63,0.00,0.01,-0.03,-1.38,22.12,-110.78
