time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized
34.49,0.7,-2.05,9.65,0.12,0.04,0.32,9.890146611653439,19.715077272011655,0.03120924814305837,-0.09139851241895665,0.43024177797216184,0.00024047806506886647,8.01593550229555e-05,0.000641274840183644
34.5,0.67,1.35,9.21,0.06,-0.05,0.3,9.33249698633758,17.76169164905552,0.0298717089369273,0.06018926427589829,0.41062453628223944,0.00012023903253443324,-0.00010019919377869438,0.0006011951626721662
34.51,0.8949999999999201,0.9550000000001404,9.799999999999793,0.0550000000000017,-0.0300000000000071,0.3149999999999947,9.887014210569138,18.40167044057964,0.039903252982906784,0.04257833139517875,0.43692947400280796,0.00011021911315656722,-6.011951626723085e-05,0.0006312549208057638
34.52,1.12,0.56,10.39,0.05,-0.01,0.33,10.465185139308335,19.131986515422533,0.0499347970288934,0.0249673985144467,0.46323441172339497,0.00010019919377869438,-2.0039838755738874e-05,0.0006613146789393829
34.53,1.12,0.56,10.39,0.05,-0.01,0.33,10.465185139308335,19.131986515422533,0.0499347970288934,0.0249673985144467,0.46323441172339497,0.00010019919377869438,-2.0039838755738874e-05,0.0006613146789393829
34.54,1.33,1.98,9.97,0.07,0.06,0.33,10.251351130460804,19.631644492792216,0.0592975714718109,0.08827758760465082,0.44450886283755997,0.00014027887129017212,0.00012023903253443324,0.0006613146789393829
34.55,1.33,1.98,9.97,0.07,0.06,0.33,10.251351130460804,19.631644492792216,0.0592975714718109,0.08827758760465082,0.44450886283755997,0.00014027887129017212,0.00012023903253443324,0.0006613146789393829
34.559999999999995,0.9550000000001332,1.36000000000022,9.760000000000076,0.0999999999999893,0.1299999999999751,0.3399999999999964,9.900465898128347,21.628682458176623,0.04257833139517843,0.060635110677951784,0.4351460883946458,0.00020039838755736732,0.0002605179038245555,0.0006813545176951145
34.57,0.58,0.74,9.55,0.13,0.2,0.35,9.596171111438146,24.267992483765664,0.025859091318534075,0.03299263375123313,0.4257833139517249,0.00026051790382460537,0.0004007967751147775,0.0007013943564508605
34.58,0.82,-2.11,10.46,0.1,0.08,0.32,10.702153988800573,19.748351687707892,0.036559404967582664,-0.0940735908312188,0.46635533653770084,0.00020039838755738876,0.000160318710045911,0.000641274840183644
