time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gy_normalized_1,gz_normalized_1,ax_filter,ay_filter,az_filter,gx_filter,gy_filter,gz_filter
5.382,-0.07,2.13,12.68,4.010704565915763,14.896902673401405,17.188733853924695,96.0,57.0,68.0,12.857845853796817,130.72490198887127,23.096667116207662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003907678151335377,0.11890506374777646,0.7078479851276083,0.00045102364376672607,0.0016752306768478395,0.0019329584732859686,-0.005090909090909091,0.10028248587570622,0.3437245866088371,0.007981755986316992,0.04990403071017275,0.10526315789473684,-0.07,2.13,12.68,4.010704565915763,14.896902673401405,17.188733853924695
5.3950000000000005,-0.07,2.13,12.68,4.010704565915763,14.896902673401405,17.188733853924695,96.0,57.0,68.0,12.857845853796817,130.72490198887127,23.096667116207662,0.06118895427486871,0.22727325873522664,0.262238375463723,-0.0010679487179487183,0.032496153846153855,0.1934512820512821,0.0,0.0,0.0,-0.003907678151335377,0.11890506374777646,0.7078479851276083,0.00045102364376672607,0.0016752306768478395,0.0019329584732859686,-0.005090909090909091,0.10028248587570622,0.3437245866088371,0.007981755986316992,0.04990403071017275,0.10526315789473684,-0.07,2.13,12.68,4.010704565915763,14.896902673401405,17.188733853924695
5.407,-0.8,3.04,12.86,2.291831180523293,9.740282517223996,16.04281826366305,96.0,57.0,68.0,13.238625306277083,130.72490198887127,18.90760723931717,0.12237790854973742,0.45454651747045327,0.524476750927446,-0.0021358974358974365,0.06499230769230771,0.3869025641025642,-1.6293063773833014e-05,0.0004957746548323475,0.0029513721236028943,-0.04465917887240431,0.16970487971513637,0.7178963003738992,0.00025772779643812917,0.001095343134862049,0.0018040945750669043,-0.05818181818181818,0.14312617702448213,0.3486039577121171,0.004561003420752566,0.0326295585412668,0.09824561403508772,-0.31333333333333335,2.433333333333333,12.74,3.437746770784939,13.178029288008934,16.806761990504146
5.4190000000000005,1.78,1.51,11.52,-0.5729577951308232,2.864788975654116,14.32394487827058,90.0,57.0,68.0,11.754101411847696,130.72490198887127,14.618847197565358,0.15734302527823382,0.603148263566563,0.7692325680269207,-0.014341025641025646,0.11137179487179491,0.5831000000000002,-4.887919132149904e-05,0.0014873239644970424,0.008854116370808683,0.09936667299109958,0.08429420012166312,0.643092175762622,-6.443194910953229e-05,0.00032215974554766145,0.0016107987277383072,0.12945454545454546,0.07109227871939737,0.31227975060992136,-0.0011402508551881414,0.009596928982725529,0.08771929824561403,0.21,2.2025,12.434999999999999,2.4350706293059985,10.599719209920229,16.186057712445756
5.431,1.78,1.51,11.52,-0.5729577951308232,2.864788975654116,14.32394487827058,90.0,57.0,44.0,11.754101411847696,126.38433447227548,14.618847197565358,0.1486017460961097,0.6468546594771836,0.9877645475800233,0.012815384615384617,0.1344089743589744,0.7588538461538463,-0.00026767176199868527,0.003186457758053914,0.01775012919132151,0.09936667299109958,0.08429420012166312,0.643092175762622,-6.443194910953229e-05,0.00032215974554766145,0.0016107987277383072,0.12945454545454546,0.07109227871939737,0.31227975060992136,-0.0011402508551881414,0.009596928982725529,0.08771929824561403,0.524,2.064,12.251999999999999,1.833464944418634,9.052733163067007,15.813635145610721
5.4430000000000005,1.6,0.18,12.29,-1.1459155902616465,7.448451336700702,14.32394487827058,90.0,57.0,44.0,12.395019160937187,115.26057435220424,16.185423897165535,0.1398604669139856,0.6905610553878041,1.2062965271331259,0.03997179487179488,0.15744615384615387,0.9346076923076925,-7.215499671268914e-05,0.005237056213017755,0.029327514792899426,0.08931835774480862,0.010048315246290969,0.6860766354273111,-0.00012886389821906459,0.0008376153384239197,0.0016107987277383072,0.11636363636363636,0.00847457627118644,0.3331526158850637,-0.002280501710376283,0.024952015355086374,0.08771929824561403,0.7033333333333335,1.75,12.258333333333331,1.3369015219719207,8.785352858672622,15.565353434387363
5.455,1.6,0.18,12.29,-1.1459155902616465,7.448451336700702,14.32394487827058,90.0,57.0,44.0,12.395019160937187,115.26057435220424,16.185423897165535,0.1223779085497374,0.8041976847554174,1.4248285066862283,0.0643820512820513,0.16019230769230772,1.1221089743589745,0.0005376711045364894,0.007639119329388565,0.04358627317554243,0.08931835774480862,0.010048315246290969,0.6860766354273111,-0.00012886389821906459,0.0008376153384239197,0.0016107987277383072,0.11636363636363636,0.00847457627118644,0.3331526158850637,-0.002280501710376283,0.024952015355086374,0.08771929824561403,0.8314285714285715,1.5257142857142856,12.26285714285714,0.982213363081411,8.594366926962348,15.38800935494211
5.466,-4.7,0.52,6.1,-2.864788975654116,10.886198107485642,12.605071492878112,90.0,57.0,44.0,7.718186315450023,115.26057435220424,16.89982699470683,0.1048953501854892,0.9178343141230307,1.6433604862393307,0.08879230769230771,0.16293846153846156,1.3096102564102565,0.001519910092044708,0.010083078895463516,0.06070562804076268,-0.2623726758753753,0.029028466267062798,0.34052623890208283,-0.00032215974554766145,0.0012242070330811135,0.0014175028804097104,-0.34181818181818185,0.024482109227871942,0.16535646516671185,-0.005701254275940707,0.036468330134357005,0.07719298245614035,0.14,1.4,11.492499999999996,0.5013380707394701,8.880845824527759,15.04014212218411
5.478,-4.7,0.52,6.1,-2.864788975654116,10.886198107485642,12.605071492878112,90.0,57.0,44.0,7.718186315450023,115.26057435220424,16.89982699470683,0.0611889542748687,1.0839186185833887,1.835668628246061,0.017087179487179485,0.1708717948717949,1.402674358974359,0.002874561965811967,0.01256893491124261,0.08068557938856019,-0.2623726758753753,0.029028466267062798,0.34052623890208283,-0.00032215974554766145,0.0012242070330811135,0.0014175028804097104,-0.34181818181818185,0.024482109227871942,0.16535646516671185,-0.005701254275940707,0.036468330134357005,0.07719298245614035,-0.3977777777777778,1.3022222222222222,10.893333333333329,0.1273239544735161,9.103662744856413,14.769578718927887
5.49,2.75,0.68,8.63,-4.583662361046586,17.188733853924695,11.459155902616464,90.0,57.0,44.0,9.08305014849087,115.26057435220424,21.16068964239119,0.017482558364248196,1.2500029230437466,2.027976770252791,-0.05461794871794874,0.17880512820512826,1.4957384615384617,0.0031352509861932954,0.015175825115055892,0.10208535486522029,0.1535159273738898,0.03796030204154366,0.4817608920860615,-0.0005154555928762583,0.0019329584732859686,0.0012886389821906458,0.2,0.032015065913371006,0.2339387367850366,-0.009122006841505131,0.05758157389635316,0.07017543859649122,-0.083,1.2399999999999998,10.666999999999996,-0.3437746770784941,9.912169855763242,14.438536437296744
