time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized
39.82,-1.1371428571429054,-1.892857142857,9.314285714285685,0.0742857142857103,0.4628571428571311,0.0657142857142805,9.572456341408001,27.121758943240476,-0.06854507449519989,-0.11409827098759943,0.561449605161662,0.00042649492180721506,0.0026573914358757993,0.0003772839692909882
39.83,-1.2957142857143018,-1.4242857142856666,9.21142857142856,0.0614285714285701,0.4242857142857104,0.0485714285714268,9.410519732334274,24.720391417958417,-0.07810349568736738,-0.08585356692425768,0.5552495481721477,0.0003526784930329006,0.0024359421495528557,0.00027886206425856847
39.84,-1.4542857142856982,-0.9557142857143331,9.10857142857144,0.0485714285714298,0.3857142857142897,0.0314285714285731,9.273317109000526,22.347002964369793,-0.08766191687953487,-0.057608862860915905,0.5490494911826338,0.0002788620642585857,0.002214492863229912,0.00018044015922614873
39.85,-1.6128571428570944,-0.4871428571429996,9.005714285714317,0.0357142857142896,0.3471428571428689,0.0142857142857194,9.161959731544858,20.011551091124478,-0.09722033807170234,-0.02936415879757413,0.5428494341931197,0.0002050456354842713,0.001993043576906968,8.201825419372896e-05
39.86,-1.771428571428603,-0.0185714285713332,8.902857142857123,0.0228571428571402,0.3085714285714207,-0.0028571428571463,9.077398822777088,17.729034339365874,-0.1067787592638766,-0.0011194547342122923,0.5366493772036013,0.0001312292067099041,0.0017715942905838662,-1.640365083875969e-05
39.87,-1.93,0.45,8.8,0.01,0.27,-0.02,9.020388018261743,15.522821460380905,-0.11633718045604412,0.02712524932912946,0.5304493202140873,5.741277793558972e-05,0.0015501450042609225,-0.00011482555587117943
39.88,-1.6050000000001154,0.7999999999998757,10.709999999999322,0.0050000000000017,0.27,-0.0349999999999946,10.85910332393912,15.60192587001264,-0.09674672260723537,0.048222665474000434,0.6455809340332402,2.870638896780462e-05,0.0015501450042609225,-0.000200944722774533
39.89,-1.28,1.15,12.62,0.0,0.27,-0.05,12.73676960614425,15.732882723483497,-0.07715626475841268,0.06932008161888639,0.760712547852475,0.0,0.0015501450042609225,-0.0002870638896779486
39.9,-1.28,1.15,12.62,0.0,0.27,-0.05,12.73676960614425,15.732882723483497,-0.07715626475841268,0.06932008161888639,0.760712547852475,0.0,0.0015501450042609225,-0.0002870638896779486
39.91,-1.35,2.61,7.43,-0.01,0.16,-0.1,7.989962452978111,10.825718761145573,-0.08137574798738838,0.15732644610895086,0.44786800558984863,-5.741277793558972e-05,0.0009186044469694355,-0.0005741277793558972
39.92,-0.89,1.72,10.38,-0.02,0.08,-0.13,10.559114546210777,8.820573138706937,-0.05364771533983382,0.10367873076911704,0.625689084525253,-0.00011482555587117943,0.00045930222348471774,-0.0007463661131626663
39.93,-0.89,1.72,10.38,-0.02,0.08,-0.13,10.559114546210777,8.820573138706937,-0.05364771533983382,0.10367873076911704,0.625689084525253,-0.00011482555587117943,0.00045930222348471774,-0.0007463661131626663
39.94,-0.3400000000001953,1.1350000000002078,9.42500000000034,-0.0050000000000053,0.0650000000000053,-0.1449999999999947,9.499181543691384,9.108947825986503,-0.02049463282646514,0.06841590664126128,0.5681232776156764,-2.8706388967825288e-05,0.00037318305658136364,-0.0008324852800660204
39.95,0.21,0.55,8.47,0.01,0.05,-0.16,8.49043579564677,9.621597532132133,0.01265844968692708,0.03315308251338046,0.510557470706059,5.741277793558972e-05,0.0002870638896779486,-0.0009186044469694355
39.96,-0.29,-0.6,7.1,0.08,0.12,-0.2,7.131206069102196,14.127796221658706,-0.017480716234327873,-0.03616699910550594,0.4279761560818203,0.00045930222348471774,0.0006889533352270766,-0.0011482555587117944
