time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,ax_normalized_1,ay_normalized_1,az_normalized_1,gx_normalized_1,gz_normalized_1,gy_normalized_1
9.541,1.52,-2.55,11.77,-0.04,0.09,0.04,-10.0,63.0,87.0,12.138607827918323,6.090624906783598,0.06223610143567458,-0.10440924911905933,0.48192033809071694,-7.295241162756872e-05,0.0001641429261620296,7.295241162756872e-05,0.01652892561983471,-0.039122430193310825,0.11069312517633781,-0.004347826086956522,0.007092198581560284,0.003503308680420397
9.553,2.84,3.06,8.56,0.01,0.03,0.05,-10.0,63.0,87.0,9.523801761901598,3.3896640283427946,0.11628324215612881,0.1252910989428712,0.35048751861143057,1.823810290689218e-05,5.471430872067654e-05,9.11905145344609e-05,0.030882992605480643,0.046946916231972995,0.0805040910373366,0.0010869565217391304,0.008865248226950355,0.0011677695601401323
9.564,2.84,3.06,8.56,0.01,0.03,0.05,-10.0,63.0,87.0,9.523801761901598,3.3896640283427946,0.11628324215612881,0.1252910989428712,0.35048751861143057,1.823810290689218e-05,5.471430872067654e-05,9.11905145344609e-05,0.030882992605480643,0.046946916231972995,0.0805040910373366,0.0010869565217391304,0.008865248226950355,0.0011677695601401323
9.576,-1.98,3.41,9.61,0.04,0.17,0.07,-10.0,63.0,87.0,10.3875213597855,10.780136584961053,-0.08107071108068135,0.1396217801945068,0.3934795623663373,7.295241162756872e-05,0.0003100477494171671,0.00012766672034824527,-0.0215311004784689,0.0523166615526235,0.09037900874635568,0.004347826086956522,0.012411347517730499,0.006617360840794084
9.588,-1.98,3.41,9.61,0.04,0.17,0.07,-10.0,63.0,87.0,10.3875213597855,10.780136584961053,-0.08107071108068135,0.1396217801945068,0.3934795623663373,7.295241162756872e-05,0.0003100477494171671,0.00012766672034824527,-0.0215311004784689,0.0523166615526235,0.09037900874635568,0.004347826086956522,0.012411347517730499,0.006617360840794084
9.601,1.41,7.89,8.8,0.03,-0.12,0.05,-10.0,64.0,93.0,11.902949214375402,7.644210425557962,0.05773217304230339,0.32305450021544235,0.36031427146969497,5.471430872067654e-05,-0.00021885723488270615,9.11905145344609e-05,0.015332753371030882,0.12104940165694997,0.08276121508511239,0.0032608695652173916,0.008865248226950355,-0.004671078240560529
9.613,4.19,9.87,10.16,0.1,0.16,0.05,-10.0,64.0,93.0,14.771546973827759,11.183689996394188,0.17155872698386612,0.4041252112961237,0.41599920433319326,0.0001823810290689218,0.00029180964651027486,9.11905145344609e-05,0.0455632883862549,0.15142681804234426,0.09555158468917521,0.010869565217391306,0.008865248226950355,0.006228104320747372
9.625,4.19,9.87,10.16,0.1,0.16,0.05,-10.0,64.0,93.0,14.771546973827759,11.183689996394188,0.17155872698386612,0.4041252112961237,0.41599920433319326,0.0001823810290689218,0.00029180964651027486,9.11905145344609e-05,0.0455632883862549,0.15142681804234426,0.09555158468917521,0.010869565217391306,0.008865248226950355,0.006228104320747372
9.636,1.3,9.96,7.0,0.22,0.15,0.01,-10.0,64.0,93.0,12.243022502633899,15.266933249701259,0.05322824464893221,0.40781024361797297,0.28661362503271187,0.00040123826395162797,0.0002735715436033827,1.823810290689218e-05,0.014136581122227057,0.15280760969622584,0.06583278472679395,0.02391304347826087,0.001773049645390071,0.0058388478007006615
9.648,1.3,9.96,7.0,0.22,0.15,0.01,-10.0,64.0,93.0,12.243022502633899,15.266933249701259,0.05322824464893221,0.40781024361797297,0.28661362503271187,0.00040123826395162797,0.0002735715436033827,1.823810290689218e-05,0.014136581122227057,0.15280760969622584,0.06583278472679395,0.02391304347826087,0.001773049645390071,0.0058388478007006615
9.66,3.77,14.47,14.26,0.07,0.24,-0.04,-10.0,64.0,93.0,20.662560344739468,14.50613273880233,0.1543619094819034,0.5924713077461916,0.5838728989952102,0.00012766672034824527,0.0004377144697654123,-7.295241162756872e-05,0.04099608525445846,0.22200061368517948,0.13411078717201166,0.007608695652173914,-0.007092198581560284,0.009342156481121059
9.672,-4.86,12.71,5.94,0.26,0.34,-0.06,-10.0,64.0,93.0,14.847467797574105,24.763445361705905,-0.19899174537985426,0.5204084534522526,0.2432121332420441,0.0004741906755791967,0.0006200954988343342,-0.00010942861744135307,-0.052849064810787307,0.19499846578705124,0.05586382018245087,0.028260869565217395,-0.010638297872340425,0.013234721681588167
9.684,-4.86,12.71,5.94,0.26,0.34,-0.06,-10.0,64.0,93.0,14.847467797574105,24.763445361705905,-0.19899174537985426,0.5204084534522526,0.2432121332420441,0.0004741906755791967,0.0006200954988343342,-0.00010942861744135307,-0.052849064810787307,0.19499846578705124,0.05586382018245087,0.028260869565217395,-0.010638297872340425,0.013234721681588167
